date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,348.4,352.0,346.5,349.97,75660,3
2015-01-02 00:00:00+05:30,349.0,352.0,341.62,344.38,140430,4
2015-01-05 00:00:00+05:30,346.5,352.0,341.1,343.48,144620,0
2015-01-06 00:00:00+05:30,345.0,348.5,339.22,342.59,137810,1
2015-01-07 00:00:00+05:30,340.38,351.8,340.38,349.56,109470,2
2015-01-08 00:00:00+05:30,346.55,351.88,346.55,348.97,96860,3
2015-01-09 00:00:00+05:30,348.1,351.21,344.1,345.01,173160,4
2015-01-12 00:00:00+05:30,345.01,351.0,339.85,343.82,117740,0
2015-01-13 00:00:00+05:30,344.01,350.98,342.31,348.3,141920,1
2015-01-14 00:00:00+05:30,349.99,413.8,347.77,377.4,4175930,2
2015-01-15 00:00:00+05:30,383.8,398.47,382.5,386.02,1223200,3
2015-01-16 00:00:00+05:30,385.8,397.9,380.23,393.78,508620,4
2015-01-19 00:00:00+05:30,394.19,398.0,388.44,390.18,398990,0
2015-01-20 00:00:00+05:30,393.5,394.02,389.5,390.48,186760,1
2015-01-21 00:00:00+05:30,393.07,393.4,380.01,381.74,565740,2
2015-01-22 00:00:00+05:30,384.45,389.0,380.6,384.07,121710,3
2015-01-23 00:00:00+05:30,389.68,389.68,382.1,387.02,424180,4
2015-01-27 00:00:00+05:30,388.45,432.5,386.01,416.96,1159950,1
2015-01-28 00:00:00+05:30,421.4,449.24,418.1,432.26,1394050,2
2015-01-29 00:00:00+05:30,433.17,434.5,411.03,412.84,407160,3
2015-01-30 00:00:00+05:30,418.9,426.03,401.01,405.06,589870,4
2015-02-02 00:00:00+05:30,409.9,423.0,401.9,416.01,376560,0
2015-02-03 00:00:00+05:30,419.95,425.5,414.0,417.23,210490,1
2015-02-04 00:00:00+05:30,419.99,421.0,405.43,410.72,286770,2
2015-02-05 00:00:00+05:30,414.85,422.0,405.51,413.05,384730,3
2015-02-06 00:00:00+05:30,413.05,413.5,397.1,404.25,334310,4
2015-02-09 00:00:00+05:30,404.25,405.0,396.5,400.7,98060,0
2015-02-10 00:00:00+05:30,403.1,405.0,396.69,400.38,172870,1
2015-02-11 00:00:00+05:30,404.8,414.2,400.56,411.24,250340,2
2015-02-12 00:00:00+05:30,412.0,416.22,406.41,412.63,190070,3
2015-02-13 00:00:00+05:30,408.6,420.5,408.6,418.44,104200,4
2015-02-16 00:00:00+05:30,439.89,439.89,418.44,430.63,337440,0
2015-02-18 00:00:00+05:30,438.8,438.8,420.66,431.9,292010,2
2015-02-19 00:00:00+05:30,432.21,432.89,420.1,430.95,280220,3
2015-02-20 00:00:00+05:30,429.01,429.11,413.0,419.12,572140,4
2015-02-23 00:00:00+05:30,416.0,425.0,413.74,416.26,113320,0
2015-02-24 00:00:00+05:30,418.28,419.0,410.01,412.04,170740,1
2015-02-25 00:00:00+05:30,415.66,419.0,406.0,408.15,566960,2
2015-02-26 00:00:00+05:30,409.7,415.89,407.0,409.69,190520,3
2015-02-27 00:00:00+05:30,411.01,415.99,406.11,410.71,280810,4
2015-03-02 00:00:00+05:30,439.05,444.4,426.34,437.14,416840,0
2015-03-03 00:00:00+05:30,442.5,447.7,429.5,432.99,275370,1
2015-03-04 00:00:00+05:30,433.01,439.9,426.0,431.3,222140,2
2015-03-05 00:00:00+05:30,428.68,437.2,427.48,434.19,126620,3
2015-03-09 00:00:00+05:30,438.6,438.6,415.0,421.49,248670,0
2015-03-10 00:00:00+05:30,425.0,429.9,414.69,418.25,146290,1
2015-03-11 00:00:00+05:30,420.2,420.74,409.0,413.27,132080,2
2015-03-12 00:00:00+05:30,414.0,422.5,411.11,413.95,124050,3
2015-03-13 00:00:00+05:30,418.0,420.65,408.0,410.76,254450,4
2015-03-16 00:00:00+05:30,415.4,415.4,399.3,400.51,772690,0
2015-03-17 00:00:00+05:30,403.0,412.0,401.21,403.39,311950,1
2015-03-18 00:00:00+05:30,404.01,411.0,400.12,404.81,402020,2
2015-03-19 00:00:00+05:30,405.6,410.62,402.5,403.55,196410,3
2015-03-20 00:00:00+05:30,407.5,414.9,390.12,402.05,352100,4
2015-03-23 00:00:00+05:30,404.3,404.3,396.12,399.3,454590,0
2015-03-24 00:00:00+05:30,400.0,404.0,393.21,396.81,220910,1
2015-03-25 00:00:00+05:30,395.13,397.0,392.1,394.82,222560,2
2015-03-26 00:00:00+05:30,395.0,403.0,393.8,395.66,200550,3
2015-03-27 00:00:00+05:30,398.0,400.0,394.2,396.17,148840,4
2015-03-30 00:00:00+05:30,399.9,407.0,396.17,399.97,243450,0
2015-03-31 00:00:00+05:30,403.1,419.9,398.99,410.85,377010,1
2015-04-01 00:00:00+05:30,415.8,415.8,406.22,414.01,129230,2
2015-04-06 00:00:00+05:30,415.8,427.4,415.5,424.09,127490,0
2015-04-07 00:00:00+05:30,427.5,436.5,421.03,434.12,184490,1
2015-04-08 00:00:00+05:30,434.12,453.0,428.56,448.92,188240,2
2015-04-09 00:00:00+05:30,454.2,469.9,440.01,450.47,535180,3
2015-04-10 00:00:00+05:30,453.0,459.8,447.88,452.21,324510,4
2015-04-13 00:00:00+05:30,452.21,452.21,442.0,445.38,300820,0
2015-04-15 00:00:00+05:30,445.5,448.98,437.7,445.6,383270,2
2015-04-16 00:00:00+05:30,447.23,460.5,437.5,458.5,104480,3
2015-04-17 00:00:00+05:30,458.0,460.51,444.13,452.95,187220,4
2015-04-20 00:00:00+05:30,447.29,459.4,443.87,455.83,190990,0
2015-04-21 00:00:00+05:30,450.5,455.0,413.93,437.34,1257380,1
2015-04-22 00:00:00+05:30,431.01,439.9,419.2,427.99,172560,2
2015-04-23 00:00:00+05:30,424.1,433.87,424.1,427.47,772240,3
2015-04-24 00:00:00+05:30,421.22,426.0,412.0,413.99,289690,4
2015-04-27 00:00:00+05:30,421.4,421.4,397.5,399.52,417010,0
2015-04-28 00:00:00+05:30,391.35,419.9,391.35,400.78,208460,1
2015-04-29 00:00:00+05:30,407.7,407.7,395.51,398.95,634980,2
2015-04-30 00:00:00+05:30,398.41,420.0,395.1,404.43,490360,3
2015-05-04 00:00:00+05:30,405.49,425.0,391.96,419.27,325870,0
2015-05-05 00:00:00+05:30,426.0,439.5,425.0,429.02,320210,1
2015-05-06 00:00:00+05:30,432.49,437.03,411.95,428.54,162130,2
2015-05-07 00:00:00+05:30,435.9,435.9,409.01,418.06,121770,3
2015-05-08 00:00:00+05:30,414.52,435.0,414.52,434.45,202260,4
2015-05-11 00:00:00+05:30,433.19,445.0,430.06,434.71,150110,0
2015-05-12 00:00:00+05:30,436.49,439.0,427.01,434.15,116890,1
2015-05-13 00:00:00+05:30,435.6,441.0,431.1,432.71,175500,2
2015-05-14 00:00:00+05:30,437.45,442.0,433.58,438.47,277190,3
2015-05-15 00:00:00+05:30,439.46,449.9,439.21,448.39,178080,4
2015-05-18 00:00:00+05:30,450.0,454.9,444.01,446.06,152920,0
2015-05-19 00:00:00+05:30,449.9,454.19,443.76,448.16,140720,1
2015-05-20 00:00:00+05:30,452.48,453.5,439.26,449.88,827630,2
2015-05-21 00:00:00+05:30,451.99,460.0,447.3,457.7,484280,3
2015-05-22 00:00:00+05:30,458.8,459.78,449.0,450.7,164530,4
2015-05-25 00:00:00+05:30,450.0,454.98,444.16,450.34,205000,0
2015-05-26 00:00:00+05:30,452.94,458.5,445.01,448.33,372020,1
2015-05-27 00:00:00+05:30,446.63,451.3,430.57,441.16,427300,2
2015-05-28 00:00:00+05:30,441.16,450.0,435.5,442.42,199350,3
2015-05-29 00:00:00+05:30,449.9,458.9,411.57,421.66,2363130,4
2015-06-01 00:00:00+05:30,428.0,441.2,424.75,437.99,403820,0
2015-06-02 00:00:00+05:30,444.1,444.1,424.75,428.47,267240,1
2015-06-03 00:00:00+05:30,422.0,436.57,417.0,432.49,259330,2
2015-06-04 00:00:00+05:30,432.93,438.0,420.83,435.23,172170,3
2015-06-05 00:00:00+05:30,437.0,449.5,430.0,445.07,329400,4
2015-06-08 00:00:00+05:30,450.98,450.98,440.51,447.27,242550,0
2015-06-09 00:00:00+05:30,441.15,461.9,440.01,458.24,561100,1
2015-06-10 00:00:00+05:30,455.4,459.5,450.5,455.32,227980,2
2015-06-11 00:00:00+05:30,460.0,477.2,452.64,466.53,859420,3
2015-06-12 00:00:00+05:30,466.5,471.41,450.9,467.65,389000,4
2015-06-15 00:00:00+05:30,468.13,473.28,465.4,471.53,267870,0
2015-06-16 00:00:00+05:30,471.5,472.0,463.52,470.02,223360,1
2015-06-17 00:00:00+05:30,470.25,479.0,469.68,477.62,981500,2
2015-06-18 00:00:00+05:30,477.62,491.8,477.62,490.29,810390,3
2015-06-19 00:00:00+05:30,490.4,524.08,490.4,515.81,786300,4
2015-06-22 00:00:00+05:30,520.0,544.9,514.21,538.63,1295610,0
2015-06-23 00:00:00+05:30,541.8,541.8,524.51,531.91,540040,1
2015-06-24 00:00:00+05:30,532.5,537.0,522.5,525.37,1069200,2
2015-06-25 00:00:00+05:30,525.8,540.0,516.0,538.49,744580,3
2015-06-26 00:00:00+05:30,538.4,549.9,530.0,543.58,672250,4
2015-06-29 00:00:00+05:30,523.01,547.0,522.11,545.54,593430,0
2015-06-30 00:00:00+05:30,540.6,546.0,538.0,544.34,285560,1
2015-07-01 00:00:00+05:30,545.0,556.51,543.0,549.82,575100,2
2015-07-02 00:00:00+05:30,550.0,558.2,541.1,545.06,494890,3
2015-07-03 00:00:00+05:30,545.51,559.0,545.51,556.11,521990,4
2015-07-06 00:00:00+05:30,551.1,562.51,546.0,556.43,506300,0
2015-07-07 00:00:00+05:30,561.85,566.0,553.22,555.8,511240,1
2015-07-08 00:00:00+05:30,555.5,556.99,517.75,522.59,1227300,2
2015-07-09 00:00:00+05:30,520.7,526.99,497.06,502.14,1885020,3
2015-07-10 00:00:00+05:30,500.3,507.86,495.12,502.47,669150,4
2015-07-13 00:00:00+05:30,505.0,514.0,504.03,509.54,957370,0
2015-07-14 00:00:00+05:30,510.12,512.4,500.0,508.23,664530,1
2015-07-15 00:00:00+05:30,508.75,517.9,508.23,515.78,479200,2
2015-07-16 00:00:00+05:30,517.0,528.28,516.5,524.89,721680,3
2015-07-17 00:00:00+05:30,524.18,530.9,516.0,517.89,808410,4
2015-07-20 00:00:00+05:30,521.98,526.85,511.32,517.15,294170,0
2015-07-21 00:00:00+05:30,517.0,522.95,508.2,510.68,427520,1
2015-07-22 00:00:00+05:30,517.0,521.0,497.55,513.13,1854060,2
2015-07-23 00:00:00+05:30,517.0,522.5,510.0,514.02,916790,3
2015-07-24 00:00:00+05:30,515.0,521.0,513.6,517.01,306640,4
2015-07-27 00:00:00+05:30,517.0,525.06,510.08,522.82,716810,0
2015-07-28 00:00:00+05:30,523.0,535.87,522.5,533.94,806260,1
2015-07-29 00:00:00+05:30,536.95,550.0,534.12,543.96,551780,2
2015-07-30 00:00:00+05:30,544.5,549.96,536.69,544.06,361680,3
2015-07-31 00:00:00+05:30,540.5,554.73,538.06,551.13,629650,4
2015-08-03 00:00:00+05:30,552.49,570.0,545.5,568.24,417080,0
2015-08-04 00:00:00+05:30,570.0,570.8,550.14,562.69,456380,1
2015-08-05 00:00:00+05:30,565.0,572.02,553.09,556.21,559690,2
2015-08-06 00:00:00+05:30,557.0,560.0,539.21,546.05,316380,3
2015-08-07 00:00:00+05:30,547.5,557.49,544.0,548.27,406280,4
2015-08-10 00:00:00+05:30,553.0,557.5,541.64,543.87,428530,0
2015-08-11 00:00:00+05:30,544.0,548.59,540.38,545.23,353060,1
2015-08-12 00:00:00+05:30,550.0,550.0,527.0,531.19,440400,2
2015-08-13 00:00:00+05:30,532.0,541.2,531.19,535.6,389170,3
2015-08-14 00:00:00+05:30,539.89,544.7,531.88,541.18,653990,4
2015-08-17 00:00:00+05:30,542.99,542.99,527.01,540.0,836250,0
2015-08-18 00:00:00+05:30,540.0,542.01,538.03,539.76,368080,1
2015-08-19 00:00:00+05:30,539.76,541.0,536.01,539.1,617800,2
2015-08-20 00:00:00+05:30,538.55,540.0,528.01,530.78,531600,3
2015-08-21 00:00:00+05:30,521.2,539.84,520.7,534.44,497090,4
2015-08-24 00:00:00+05:30,505.5,525.0,475.13,487.08,1446990,0
2015-08-25 00:00:00+05:30,491.46,508.28,485.91,491.56,2491020,1
2015-08-26 00:00:00+05:30,494.9,506.5,489.2,496.73,1104030,2
2015-08-27 00:00:00+05:30,500.15,514.6,500.15,510.0,620110,3
2015-08-28 00:00:00+05:30,510.52,512.89,488.7,505.25,2069490,4
2015-08-31 00:00:00+05:30,506.24,506.95,499.9,502.12,448440,0
2015-09-01 00:00:00+05:30,502.12,507.5,488.5,493.51,640640,1
2015-09-02 00:00:00+05:30,497.1,505.5,496.81,502.2,420150,2
2015-09-03 00:00:00+05:30,507.07,524.16,507.07,520.22,1417740,3
2015-09-04 00:00:00+05:30,525.38,525.38,501.23,507.56,673630,4
2015-09-07 00:00:00+05:30,516.2,516.2,498.48,503.91,527780,0
2015-09-08 00:00:00+05:30,505.6,509.98,495.58,501.16,385870,1
2015-09-09 00:00:00+05:30,509.99,511.68,500.0,505.0,551250,2
2015-09-10 00:00:00+05:30,501.99,511.56,493.85,505.47,563880,3
2015-09-11 00:00:00+05:30,513.3,513.3,499.86,503.69,206780,4
2015-09-14 00:00:00+05:30,503.6,518.1,503.6,514.89,616730,0
2015-09-15 00:00:00+05:30,517.52,526.9,512.5,524.7,696730,1
2015-09-16 00:00:00+05:30,525.24,526.5,515.0,520.01,419160,2
2015-09-18 00:00:00+05:30,522.0,527.4,492.5,496.56,3440150,4
2015-09-21 00:00:00+05:30,494.9,502.25,487.0,493.59,706980,0
2015-09-22 00:00:00+05:30,496.3,496.49,478.35,482.14,1257370,1
2015-09-23 00:00:00+05:30,482.07,487.9,467.71,484.49,1431930,2
2015-09-24 00:00:00+05:30,484.52,489.07,478.81,486.81,284680,3
2015-09-28 00:00:00+05:30,483.11,491.63,481.0,482.28,226220,0
2015-09-29 00:00:00+05:30,476.02,514.9,473.22,511.1,1047510,1
2015-09-30 00:00:00+05:30,511.5,520.0,502.2,513.13,843840,2
2015-10-01 00:00:00+05:30,514.0,519.0,507.66,510.76,519760,3
2015-10-05 00:00:00+05:30,518.95,523.35,511.01,520.76,435880,0
2015-10-06 00:00:00+05:30,522.5,524.24,514.28,516.54,746500,1
2015-10-07 00:00:00+05:30,516.5,520.01,508.72,512.01,590060,2
2015-10-08 00:00:00+05:30,512.02,512.02,502.66,504.15,404160,3
2015-10-09 00:00:00+05:30,505.13,517.8,494.0,499.64,502770,4
2015-10-12 00:00:00+05:30,499.65,503.98,493.65,496.34,493520,0
2015-10-13 00:00:00+05:30,491.3,499.5,491.3,497.67,358370,1
2015-10-14 00:00:00+05:30,497.67,498.5,492.0,493.99,205470,2
2015-10-15 00:00:00+05:30,494.0,505.0,492.2,498.44,341150,3
2015-10-16 00:00:00+05:30,500.0,502.2,494.9,498.04,237590,4
2015-10-19 00:00:00+05:30,501.9,504.55,497.67,501.55,413050,0
2015-10-20 00:00:00+05:30,506.9,534.9,502.9,531.09,3775620,1
2015-10-21 00:00:00+05:30,542.5,542.77,524.6,535.81,1504140,2
2015-10-23 00:00:00+05:30,537.5,538.18,525.66,527.31,470760,4
