date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,759.3,761.9,754.15,758.45,372132,3
2015-01-02 00:00:00+05:30,757.0,766.0,752.65,755.95,1207322,4
2015-01-05 00:00:00+05:30,759.75,761.9,755.1,760.3,849252,0
2015-01-06 00:00:00+05:30,767.0,779.9,755.4,774.7,2738679,1
2015-01-07 00:00:00+05:30,779.0,806.8,779.0,801.9,3744143,2
2015-01-08 00:00:00+05:30,803.9,825.0,803.15,817.05,3076833,3
2015-01-09 00:00:00+05:30,818.5,868.4,817.05,864.6,3825060,4
2015-01-12 00:00:00+05:30,867.5,899.8,864.25,896.6,4338065,0
2015-01-13 00:00:00+05:30,899.95,908.65,876.4,884.55,3371700,1
2015-01-14 00:00:00+05:30,888.8,934.5,886.0,924.05,4578199,2
2015-01-15 00:00:00+05:30,934.95,937.4,909.7,921.55,3534537,3
2015-01-16 00:00:00+05:30,928.0,947.0,925.0,941.05,2021113,4
2015-01-19 00:00:00+05:30,946.3,947.4,886.05,892.55,7705398,0
2015-01-20 00:00:00+05:30,889.9,903.0,877.75,895.45,4355821,1
2015-01-21 00:00:00+05:30,897.0,948.4,888.5,941.95,4103989,2
2015-01-22 00:00:00+05:30,944.0,961.3,931.3,944.65,3585572,3
2015-01-23 00:00:00+05:30,947.0,968.85,944.65,965.3,2450001,4
2015-01-27 00:00:00+05:30,962.1,967.9,936.6,941.95,3274894,1
2015-01-28 00:00:00+05:30,938.0,940.8,928.15,933.85,2246526,2
2015-01-29 00:00:00+05:30,931.0,948.0,926.4,941.6,3421454,3
2015-01-30 00:00:00+05:30,941.0,941.0,927.8,932.55,1562161,4
2015-02-02 00:00:00+05:30,926.35,929.95,904.8,908.0,1822825,0
2015-02-03 00:00:00+05:30,910.2,930.85,908.0,910.85,1544881,1
2015-02-04 00:00:00+05:30,910.9,919.8,895.1,899.9,1181845,2
2015-02-05 00:00:00+05:30,907.3,919.8,901.2,909.05,1711139,3
2015-02-06 00:00:00+05:30,906.0,915.85,899.4,905.75,717674,4
2015-02-09 00:00:00+05:30,905.75,914.6,895.9,900.15,860239,0
2015-02-10 00:00:00+05:30,895.0,907.5,885.4,887.75,1058750,1
2015-02-11 00:00:00+05:30,890.35,902.95,884.6,900.3,897359,2
2015-02-12 00:00:00+05:30,905.0,910.8,885.3,887.8,1121008,3
2015-02-13 00:00:00+05:30,892.4,898.8,885.2,892.8,1344229,4
2015-02-16 00:00:00+05:30,886.35,920.0,886.35,907.0,1635273,0
2015-02-18 00:00:00+05:30,902.0,923.35,902.0,912.9,2178775,2
2015-02-19 00:00:00+05:30,919.95,922.8,895.0,908.15,1034454,3
2015-02-20 00:00:00+05:30,905.5,909.7,899.0,900.25,623253,4
2015-02-23 00:00:00+05:30,903.0,913.85,883.05,886.15,1054383,0
2015-02-24 00:00:00+05:30,889.0,915.6,887.0,913.7,2100402,1
