date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,120.16,120.21,118.42,118.7,1232484,3
2015-01-02 00:00:00+05:30,118.75,120.83,118.75,120.33,1985911,4
2015-01-05 00:00:00+05:30,120.46,120.75,119.21,120.0,1830881,0
2015-01-06 00:00:00+05:30,119.58,120.42,115.21,115.99,4936260,1
2015-01-07 00:00:00+05:30,117.08,119.17,116.13,118.79,4873796,2
2015-01-08 00:00:00+05:30,119.42,121.08,119.33,120.78,6303521,3
2015-01-09 00:00:00+05:30,120.96,121.25,116.25,116.88,3149161,4
2015-01-12 00:00:00+05:30,117.5,117.83,115.42,116.67,2658780,0
2015-01-13 00:00:00+05:30,116.04,116.96,115.08,115.78,3762862,1
2015-01-14 00:00:00+05:30,116.41,116.88,114.33,114.79,2280176,2
2015-01-15 00:00:00+05:30,116.54,117.13,115.33,115.99,5846878,3
2015-01-16 00:00:00+05:30,115.54,118.17,115.29,117.0,5188279,4
2015-01-19 00:00:00+05:30,117.42,119.08,116.54,118.13,4322422,0
2015-01-20 00:00:00+05:30,118.96,119.58,118.42,119.04,5374190,1
2015-01-21 00:00:00+05:30,119.38,120.13,118.58,119.58,5789695,2
2015-01-22 00:00:00+05:30,119.58,119.74,116.13,116.83,5607554,3
2015-01-23 00:00:00+05:30,118.0,118.49,117.03,118.25,7537705,4
2015-01-27 00:00:00+05:30,118.75,119.74,117.24,119.29,14984991,1
2015-01-28 00:00:00+05:30,119.17,120.78,117.96,119.04,5637058,2
2015-01-29 00:00:00+05:30,118.91,118.91,117.58,118.21,14628124,3
2015-01-30 00:00:00+05:30,119.0,122.83,118.42,119.71,18591570,4
2015-02-02 00:00:00+05:30,120.37,120.37,117.96,118.38,8637379,0
2015-02-03 00:00:00+05:30,118.7,120.67,118.46,120.0,6484628,1
2015-02-04 00:00:00+05:30,119.33,120.08,118.38,119.0,3363786,2
2015-02-05 00:00:00+05:30,118.49,119.25,115.88,116.79,5119240,3
2015-02-06 00:00:00+05:30,116.79,117.29,115.25,116.67,4980413,4
2015-02-09 00:00:00+05:30,115.83,117.0,115.08,115.67,2595390,0
2015-02-10 00:00:00+05:30,115.0,116.92,113.96,114.29,3755645,1
2015-02-11 00:00:00+05:30,114.17,117.5,114.0,116.79,2935369,2
2015-02-12 00:00:00+05:30,117.13,118.88,116.71,118.42,4302336,3
2015-02-13 00:00:00+05:30,118.42,119.74,118.0,119.38,3011838,4
2015-02-16 00:00:00+05:30,118.49,120.54,118.49,120.0,1621299,0
2015-02-18 00:00:00+05:30,120.04,123.17,119.67,121.71,4146712,2
2015-02-19 00:00:00+05:30,121.83,122.66,118.33,122.21,3090879,3
2015-02-20 00:00:00+05:30,122.0,122.79,120.08,121.38,2648484,4
2015-02-23 00:00:00+05:30,121.38,122.33,120.25,121.71,5026430,0
2015-02-24 00:00:00+05:30,121.88,124.33,121.67,122.17,4904698,1
2015-02-25 00:00:00+05:30,122.5,123.83,121.33,121.71,6281920,2
2015-02-26 00:00:00+05:30,122.58,129.04,121.46,127.79,21241206,3
2015-02-27 00:00:00+05:30,127.5,132.92,126.67,132.03,10071356,4
2015-03-02 00:00:00+05:30,130.0,133.33,129.74,132.92,6544590,0
2015-03-03 00:00:00+05:30,132.92,133.33,131.58,132.24,4830775,1
2015-03-04 00:00:00+05:30,132.5,133.17,129.79,131.25,3817162,2
2015-03-05 00:00:00+05:30,130.21,132.24,129.33,131.79,3589754,3
2015-03-09 00:00:00+05:30,131.25,131.75,126.17,126.5,2549044,0
2015-03-10 00:00:00+05:30,127.75,127.75,124.17,124.95,3208061,1
2015-03-11 00:00:00+05:30,124.58,128.96,122.17,128.13,3966079,2
2015-03-12 00:00:00+05:30,128.33,137.29,127.5,133.08,19776958,3
2015-03-13 00:00:00+05:30,133.58,134.42,132.17,132.87,13559465,4
2015-03-16 00:00:00+05:30,132.75,132.92,128.91,129.88,10012222,0
2015-03-17 00:00:00+05:30,130.08,132.08,129.42,131.54,5336330,1
2015-03-18 00:00:00+05:30,131.67,132.79,125.99,127.21,16155114,2
2015-03-19 00:00:00+05:30,127.92,129.88,125.13,128.96,20768369,3
2015-03-20 00:00:00+05:30,119.83,123.58,118.91,121.25,17171691,4
2015-03-23 00:00:00+05:30,120.99,125.42,120.99,125.13,7423310,0
2015-03-24 00:00:00+05:30,125.0,127.83,124.67,127.24,6418011,1
2015-03-25 00:00:00+05:30,128.75,129.08,122.08,122.79,15931009,2
2015-03-26 00:00:00+05:30,121.88,123.17,119.12,120.0,21961628,3
2015-03-27 00:00:00+05:30,121.58,122.21,119.58,121.33,4464698,4
2015-03-30 00:00:00+05:30,121.75,123.49,121.41,123.0,4132541,0
2015-03-31 00:00:00+05:30,123.75,123.75,120.75,122.38,6997714,1
2015-04-01 00:00:00+05:30,122.5,124.92,122.5,123.13,3038207,2
2015-04-06 00:00:00+05:30,123.75,127.45,123.49,126.75,3393269,0
2015-04-07 00:00:00+05:30,127.45,130.83,126.25,130.25,4590794,1
2015-04-08 00:00:00+05:30,130.25,131.62,127.87,130.08,2557234,2
2015-04-09 00:00:00+05:30,130.13,131.67,127.83,131.13,2900768,3
2015-04-10 00:00:00+05:30,130.83,132.5,128.54,129.71,2667347,4
2015-04-13 00:00:00+05:30,129.74,132.24,127.92,131.08,2657574,0
2015-04-15 00:00:00+05:30,130.16,132.08,127.83,128.63,3425071,2
2015-04-16 00:00:00+05:30,128.33,130.5,127.92,130.08,2617615,3
2015-04-17 00:00:00+05:30,129.63,132.38,129.63,131.67,3192655,4
2015-04-20 00:00:00+05:30,132.83,133.33,128.17,128.67,2379637,0
2015-04-21 00:00:00+05:30,129.08,130.25,125.83,126.13,3220441,1
2015-04-22 00:00:00+05:30,126.58,127.87,125.25,127.24,2768504,2
2015-04-23 00:00:00+05:30,128.33,128.33,124.08,124.58,2400684,3
2015-04-24 00:00:00+05:30,125.37,125.83,123.25,124.83,3337315,4
2015-04-27 00:00:00+05:30,125.71,127.79,123.08,123.54,4093158,0
2015-04-28 00:00:00+05:30,123.33,126.79,122.42,126.08,3272021,1
2015-04-29 00:00:00+05:30,126.17,127.29,125.33,126.33,3734159,2
2015-04-30 00:00:00+05:30,126.08,126.58,124.5,125.25,5757489,3
2015-05-04 00:00:00+05:30,125.83,127.54,124.46,126.96,1870746,0
2015-05-05 00:00:00+05:30,126.25,126.75,123.67,125.42,2065173,1
2015-05-06 00:00:00+05:30,124.67,125.04,119.25,120.5,4896975,2
2015-05-07 00:00:00+05:30,120.67,120.96,118.33,118.75,3225571,3
2015-05-08 00:00:00+05:30,119.38,120.5,117.96,118.33,2435540,4
2015-05-11 00:00:00+05:30,118.67,121.25,118.17,120.78,2446265,0
2015-05-12 00:00:00+05:30,120.54,121.2,116.92,118.04,4232194,1
2015-05-13 00:00:00+05:30,118.38,118.83,111.88,115.33,10805544,2
2015-05-14 00:00:00+05:30,116.17,119.71,114.74,115.88,9830755,3
2015-05-15 00:00:00+05:30,116.67,117.83,112.87,113.42,2906361,4
2015-05-18 00:00:00+05:30,114.74,114.74,112.54,113.46,3200431,0
2015-05-19 00:00:00+05:30,113.67,114.92,112.38,113.42,2576477,1
2015-05-20 00:00:00+05:30,114.08,114.74,112.87,113.46,3682064,2
2015-05-21 00:00:00+05:30,114.17,114.25,111.67,112.45,3683930,3
2015-05-22 00:00:00+05:30,112.17,113.08,111.88,112.79,4675857,4
2015-05-25 00:00:00+05:30,112.54,113.21,111.67,111.88,1498913,0
2015-05-26 00:00:00+05:30,112.08,112.08,110.0,110.42,7013048,1
2015-05-27 00:00:00+05:30,110.42,113.21,109.42,111.88,6935826,2
2015-05-28 00:00:00+05:30,112.33,112.96,111.67,112.21,7942822,3
2015-05-29 00:00:00+05:30,112.29,116.38,111.71,113.79,46162369,4
2015-06-01 00:00:00+05:30,113.83,116.08,113.83,115.46,4735162,0
2015-06-02 00:00:00+05:30,115.42,115.75,113.17,114.95,4147306,1
2015-06-03 00:00:00+05:30,114.74,116.46,113.42,115.37,6953216,2
2015-06-04 00:00:00+05:30,115.46,116.17,113.46,114.08,5105263,3
2015-06-05 00:00:00+05:30,113.0,117.38,113.0,116.71,5675983,4
2015-06-08 00:00:00+05:30,116.79,117.08,115.04,115.37,4875881,0
2015-06-09 00:00:00+05:30,115.58,116.2,113.96,115.83,4852849,1
2015-06-10 00:00:00+05:30,116.17,117.29,115.67,116.67,3797969,2
2015-06-11 00:00:00+05:30,116.88,117.0,113.49,113.79,4705694,3
2015-06-12 00:00:00+05:30,113.33,114.58,113.0,113.75,3900565,4
2015-06-15 00:00:00+05:30,113.33,113.88,112.17,113.21,2013108,0
2015-06-16 00:00:00+05:30,112.83,115.0,112.83,114.71,1834430,1
2015-06-17 00:00:00+05:30,114.46,114.95,113.79,114.17,3932128,2
2015-06-18 00:00:00+05:30,114.25,114.92,113.54,113.83,2599234,3
2015-06-19 00:00:00+05:30,114.0,114.42,113.0,113.38,2965094,4
2015-06-22 00:00:00+05:30,113.49,114.58,113.33,114.17,2074238,0
2015-06-23 00:00:00+05:30,114.08,116.67,113.25,116.04,4079757,1
2015-06-24 00:00:00+05:30,116.58,116.79,113.54,114.0,959376,2
2015-06-25 00:00:00+05:30,113.83,114.46,112.5,113.0,11070728,3
2015-06-26 00:00:00+05:30,113.04,115.16,112.83,114.74,2510750,4
2015-06-29 00:00:00+05:30,113.88,116.25,112.83,115.54,2279382,0
2015-06-30 00:00:00+05:30,114.83,115.5,113.46,114.71,4654154,1
2015-07-01 00:00:00+05:30,114.46,116.13,114.08,115.25,2243489,2
2015-07-02 00:00:00+05:30,115.42,115.71,114.46,114.71,1775781,3
2015-07-03 00:00:00+05:30,113.96,116.41,113.42,115.71,1540118,4
2015-07-06 00:00:00+05:30,113.91,115.5,113.91,115.0,1524649,0
2015-07-07 00:00:00+05:30,115.0,115.25,111.67,112.03,9892452,1
2015-07-08 00:00:00+05:30,110.04,111.54,109.46,110.83,5815889,2
2015-07-09 00:00:00+05:30,110.42,110.96,108.91,109.25,3075079,3
2015-07-10 00:00:00+05:30,109.38,109.79,106.79,108.21,5583580,4
2015-07-13 00:00:00+05:30,108.33,111.17,107.58,110.92,2861191,0
2015-07-14 00:00:00+05:30,110.99,111.71,110.75,110.92,2074908,1
2015-07-15 00:00:00+05:30,110.83,111.67,110.83,110.96,2057947,2
2015-07-16 00:00:00+05:30,111.29,112.58,110.83,112.24,991126,3
2015-07-17 00:00:00+05:30,112.29,113.17,111.75,112.96,1204503,4
2015-07-20 00:00:00+05:30,113.04,113.49,112.87,113.08,738637,0
2015-07-21 00:00:00+05:30,112.92,113.38,112.75,113.0,1139508,1
2015-07-22 00:00:00+05:30,112.83,114.88,112.83,114.63,1382815,2
2015-07-23 00:00:00+05:30,114.25,115.75,114.25,115.29,2288034,3
2015-07-24 00:00:00+05:30,114.92,115.75,114.08,115.0,3147809,4
2015-07-27 00:00:00+05:30,115.0,116.08,111.13,111.83,2526150,0
2015-07-28 00:00:00+05:30,111.38,114.58,110.58,114.21,2793274,1
2015-07-29 00:00:00+05:30,114.17,114.5,112.08,112.92,3165996,2
2015-07-30 00:00:00+05:30,113.21,115.58,112.92,113.21,6753377,3
2015-07-31 00:00:00+05:30,113.33,114.08,112.38,112.54,4481205,4
2015-08-03 00:00:00+05:30,112.58,113.75,112.24,112.54,2398533,0
2015-08-04 00:00:00+05:30,112.63,113.25,111.38,112.63,3652606,1
2015-08-05 00:00:00+05:30,112.66,114.33,112.17,113.96,2308333,2
2015-08-06 00:00:00+05:30,114.17,115.0,112.71,113.25,10020905,3
2015-08-07 00:00:00+05:30,112.58,113.67,111.08,111.54,3969067,4
2015-08-10 00:00:00+05:30,111.67,112.17,109.08,109.46,3967506,0
2015-08-11 00:00:00+05:30,109.25,110.25,108.0,109.0,5602138,1
2015-08-12 00:00:00+05:30,108.33,108.58,105.92,106.71,4194204,2
2015-08-13 00:00:00+05:30,106.75,107.66,105.5,106.54,5019747,3
2015-08-14 00:00:00+05:30,106.71,108.28,106.33,108.04,1667711,4
2015-08-17 00:00:00+05:30,108.04,108.33,106.42,106.71,1082583,0
2015-08-18 00:00:00+05:30,107.5,107.54,105.75,106.04,1762927,1
2015-08-19 00:00:00+05:30,105.83,106.17,104.88,105.0,1727903,2
2015-08-20 00:00:00+05:30,104.33,106.42,104.17,104.96,3246558,3
2015-08-21 00:00:00+05:30,104.17,104.54,101.5,102.83,6905557,4
2015-08-24 00:00:00+05:30,100.83,101.67,93.92,96.08,17715914,0
2015-08-25 00:00:00+05:30,98.33,102.0,89.25,99.29,10368383,1
2015-08-26 00:00:00+05:30,99.33,102.5,96.92,99.92,9070828,2
2015-08-27 00:00:00+05:30,101.17,101.42,98.33,99.29,10376278,3
2015-08-28 00:00:00+05:30,101.58,104.21,100.04,101.33,3976538,4
2015-08-31 00:00:00+05:30,100.83,102.79,100.08,101.21,4023225,0
2015-09-01 00:00:00+05:30,100.08,102.08,99.5,100.21,3166290,1
2015-09-02 00:00:00+05:30,100.83,100.83,96.46,97.08,5729504,2
2015-09-03 00:00:00+05:30,96.46,99.5,96.29,98.0,4218490,3
2015-09-04 00:00:00+05:30,97.5,98.0,94.29,95.42,8577170,4
2015-09-07 00:00:00+05:30,95.58,95.83,93.67,93.83,6708539,0
2015-09-08 00:00:00+05:30,95.0,96.79,94.29,95.38,4823131,1
2015-09-09 00:00:00+05:30,97.5,101.13,96.0,100.75,10012994,2
2015-09-10 00:00:00+05:30,100.54,100.75,98.29,99.38,2331936,3
2015-09-11 00:00:00+05:30,99.88,100.63,98.92,99.71,2003950,4
2015-09-14 00:00:00+05:30,100.0,105.33,99.75,104.92,4785185,0
