date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,443.15,446.0,441.83,443.95,1354878,3
2015-01-02 00:00:00+05:30,444.05,448.03,442.15,442.78,3351654,4
2015-01-05 00:00:00+05:30,442.5,445.45,437.05,437.93,4619182,0
2015-01-06 00:00:00+05:30,435.0,436.5,416.0,418.05,8516086,1
2015-01-07 00:00:00+05:30,418.55,429.4,418.5,427.15,9472630,2
2015-01-08 00:00:00+05:30,430.05,431.45,420.08,421.03,9084914,3
2015-01-09 00:00:00+05:30,424.2,431.0,422.5,430.15,6122732,4
2015-01-12 00:00:00+05:30,430.25,430.5,420.8,425.15,4617432,0
2015-01-13 00:00:00+05:30,426.5,427.48,420.25,421.58,4548216,1
2015-01-14 00:00:00+05:30,421.5,423.5,415.6,417.48,5202572,2
2015-01-15 00:00:00+05:30,420.0,435.55,420.0,432.13,7738494,3
2015-01-16 00:00:00+05:30,430.0,437.5,426.03,434.85,8748776,4
2015-01-19 00:00:00+05:30,435.1,443.0,429.38,439.83,6098582,0
2015-01-20 00:00:00+05:30,440.75,452.78,439.43,451.53,6108346,1
2015-01-21 00:00:00+05:30,452.5,455.7,446.03,453.38,7810366,2
2015-01-22 00:00:00+05:30,452.58,453.6,439.75,441.88,10844730,3
2015-01-23 00:00:00+05:30,445.0,448.9,438.5,443.45,8265794,4
2015-01-27 00:00:00+05:30,446.45,448.35,440.25,444.53,8201508,1
2015-01-28 00:00:00+05:30,443.05,454.9,443.05,453.43,8822454,2
2015-01-29 00:00:00+05:30,453.55,467.25,453.45,464.7,16511776,3
2015-01-30 00:00:00+05:30,465.0,465.63,454.5,457.63,9941906,4
2015-02-02 00:00:00+05:30,458.03,459.95,452.85,454.03,8824550,0
2015-02-03 00:00:00+05:30,456.6,470.43,456.6,468.8,7814040,1
2015-02-04 00:00:00+05:30,469.55,471.9,462.95,464.4,6433654,2
2015-02-05 00:00:00+05:30,468.0,469.95,458.8,461.85,5653156,3
2015-02-06 00:00:00+05:30,462.05,465.0,451.5,454.95,4135456,4
2015-02-09 00:00:00+05:30,450.6,459.0,446.0,448.35,4041210,0
2015-02-10 00:00:00+05:30,449.0,452.25,430.65,441.0,6240782,1
2015-02-11 00:00:00+05:30,443.0,452.38,441.5,450.35,4471548,2
2015-02-12 00:00:00+05:30,454.0,456.98,443.63,454.58,3981748,3
2015-02-13 00:00:00+05:30,457.0,460.4,454.53,458.75,3380142,4
2015-02-16 00:00:00+05:30,459.35,462.1,450.0,451.4,5607922,0
2015-02-18 00:00:00+05:30,450.0,454.0,447.2,450.83,4496248,2
2015-02-19 00:00:00+05:30,453.48,453.8,443.78,451.03,4366230,3
2015-02-20 00:00:00+05:30,447.63,448.0,435.65,436.55,8556874,4
2015-02-23 00:00:00+05:30,434.98,438.38,423.55,425.73,6448086,0
2015-02-24 00:00:00+05:30,427.13,428.4,418.5,420.73,9118740,1
2015-02-25 00:00:00+05:30,424.4,428.25,420.53,421.58,6982812,2
2015-02-26 00:00:00+05:30,423.05,425.0,418.3,421.0,9810676,3
2015-02-27 00:00:00+05:30,423.78,430.5,422.3,427.78,8530440,4
2015-03-02 00:00:00+05:30,434.5,437.75,427.78,432.13,6665262,0
2015-03-03 00:00:00+05:30,434.5,453.23,433.7,450.4,9434508,1
2015-03-04 00:00:00+05:30,453.0,454.83,440.03,443.93,6617962,2
2015-03-05 00:00:00+05:30,446.25,449.38,439.08,442.48,4899316,3
2015-03-09 00:00:00+05:30,442.55,445.88,432.08,434.83,6430224,0
2015-03-10 00:00:00+05:30,434.48,437.9,427.7,429.58,6964500,1
2015-03-11 00:00:00+05:30,430.48,434.8,426.2,427.98,5319530,2
2015-03-12 00:00:00+05:30,429.0,433.7,427.8,431.9,5386508,3
2015-03-13 00:00:00+05:30,434.5,434.8,423.5,425.05,5913976,4
2015-03-16 00:00:00+05:30,425.75,426.98,420.15,421.05,6327178,0
2015-03-17 00:00:00+05:30,425.28,429.95,420.5,428.43,8718200,1
2015-03-18 00:00:00+05:30,428.5,436.13,427.35,434.33,4237880,2
2015-03-19 00:00:00+05:30,437.78,438.35,427.05,428.08,6370436,3
2015-03-20 00:00:00+05:30,428.95,430.58,424.3,427.05,4757144,4
2015-03-23 00:00:00+05:30,428.25,432.0,419.05,420.98,6058224,0
2015-03-24 00:00:00+05:30,421.05,427.15,421.05,423.98,4223500,1
2015-03-25 00:00:00+05:30,424.5,424.75,420.5,422.45,4692786,2
2015-03-26 00:00:00+05:30,420.55,424.63,412.05,414.65,9427386,3
2015-03-27 00:00:00+05:30,416.95,417.5,400.73,405.85,10664284,4
2015-03-30 00:00:00+05:30,408.3,408.85,398.23,405.38,7922962,0
2015-03-31 00:00:00+05:30,409.0,416.45,409.0,413.0,9250942,1
2015-04-01 00:00:00+05:30,412.45,419.5,406.55,418.03,6669386,2
2015-04-06 00:00:00+05:30,418.0,419.0,410.7,412.33,5638734,0
2015-04-07 00:00:00+05:30,413.03,418.05,413.03,416.43,9726422,1
2015-04-08 00:00:00+05:30,416.75,434.75,416.45,432.95,11347420,2
2015-04-09 00:00:00+05:30,432.75,449.5,429.4,447.55,12469862,3
2015-04-10 00:00:00+05:30,447.48,454.4,444.55,452.18,11576924,4
2015-04-13 00:00:00+05:30,453.4,462.38,449.38,461.25,9224402,0
2015-04-15 00:00:00+05:30,460.5,469.8,453.6,461.83,10163386,2
2015-04-16 00:00:00+05:30,462.25,469.0,459.5,464.18,9224384,3
2015-04-17 00:00:00+05:30,467.53,472.15,461.3,463.43,10953102,4
2015-04-20 00:00:00+05:30,468.65,468.73,439.25,442.83,17202330,0
2015-04-21 00:00:00+05:30,445.08,447.75,436.23,438.23,8095048,1
2015-04-22 00:00:00+05:30,440.95,443.38,433.5,439.88,6748376,2
