date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,230.8,230.8,225.65,227.75,525154,3
2015-01-02 00:00:00+05:30,227.85,236.85,227.85,234.85,2323652,4
2015-01-05 00:00:00+05:30,233.35,236.0,230.05,230.45,970159,0
2015-01-06 00:00:00+05:30,228.65,228.65,217.4,219.3,1380745,1
2015-01-07 00:00:00+05:30,218.6,223.05,210.2,215.35,2480122,2
2015-01-08 00:00:00+05:30,217.35,223.1,215.95,221.85,1494112,3
2015-01-09 00:00:00+05:30,223.25,225.65,218.2,221.55,2060313,4
2015-01-12 00:00:00+05:30,221.85,223.3,218.7,220.4,900701,0
2015-01-13 00:00:00+05:30,221.35,238.25,221.35,229.85,4629859,1
2015-01-14 00:00:00+05:30,230.55,239.95,228.65,238.8,2878372,2
2015-01-15 00:00:00+05:30,242.0,243.35,235.75,241.65,1983289,3
2015-01-16 00:00:00+05:30,241.0,249.3,239.3,246.75,1853314,4
2015-01-19 00:00:00+05:30,247.15,249.65,244.85,247.35,1490704,0
2015-01-20 00:00:00+05:30,248.0,250.15,246.05,247.55,1252342,1
2015-01-21 00:00:00+05:30,248.55,248.55,238.05,242.85,1639284,2
2015-01-22 00:00:00+05:30,242.05,245.05,238.0,240.25,1148951,3
2015-01-23 00:00:00+05:30,242.5,243.7,237.55,238.7,1025195,4
2015-01-27 00:00:00+05:30,239.35,242.0,232.65,233.75,1327359,1
2015-01-28 00:00:00+05:30,235.35,240.2,232.85,236.15,1093703,2
2015-01-29 00:00:00+05:30,236.0,244.95,233.45,243.45,1722592,3
2015-01-30 00:00:00+05:30,246.55,249.5,242.65,245.55,1265602,4
2015-02-02 00:00:00+05:30,246.6,263.8,239.35,262.55,4039918,0
2015-02-03 00:00:00+05:30,264.7,279.35,259.85,277.55,7005164,1
2015-02-04 00:00:00+05:30,279.2,290.65,276.75,286.4,6008793,2
2015-02-05 00:00:00+05:30,285.35,285.35,277.1,278.65,1841414,3
2015-02-06 00:00:00+05:30,276.0,291.15,272.7,285.55,3732392,4
2015-02-09 00:00:00+05:30,284.0,284.0,272.65,275.75,1405363,0
2015-02-10 00:00:00+05:30,274.85,286.35,274.25,283.1,1641816,1
2015-02-11 00:00:00+05:30,284.7,293.25,278.7,290.45,3583011,2
2015-02-12 00:00:00+05:30,293.0,298.5,291.45,294.75,1886537,3
2015-02-13 00:00:00+05:30,295.1,295.35,284.45,286.4,1530513,4
2015-02-16 00:00:00+05:30,285.35,290.95,281.45,284.3,991380,0
2015-02-18 00:00:00+05:30,284.3,286.75,277.7,278.55,1055227,2
2015-02-19 00:00:00+05:30,279.85,288.85,279.35,285.3,1291594,3
2015-02-20 00:00:00+05:30,285.25,285.25,278.05,280.7,853791,4
2015-02-23 00:00:00+05:30,283.4,285.95,275.55,278.1,1422503,0
2015-02-24 00:00:00+05:30,276.75,282.65,274.5,276.05,1966082,1
2015-02-25 00:00:00+05:30,277.85,281.05,269.35,274.15,2936426,2
2015-02-26 00:00:00+05:30,274.65,276.15,266.05,271.55,1477562,3
2015-02-27 00:00:00+05:30,272.35,280.95,272.35,279.85,1015008,4
2015-03-02 00:00:00+05:30,278.65,283.85,277.05,281.9,865497,0
2015-03-03 00:00:00+05:30,282.05,284.15,278.05,279.05,640048,1
2015-03-04 00:00:00+05:30,281.75,284.0,274.2,276.85,1392030,2
2015-03-05 00:00:00+05:30,278.35,282.65,276.05,281.15,1104006,3
2015-03-09 00:00:00+05:30,281.45,293.3,278.45,291.0,2730311,0
2015-03-10 00:00:00+05:30,293.5,294.8,288.0,289.25,1356430,1
2015-03-11 00:00:00+05:30,288.2,289.85,282.65,283.7,698885,2
2015-03-12 00:00:00+05:30,282.65,287.85,280.15,285.9,950802,3
2015-03-13 00:00:00+05:30,287.35,289.35,273.05,275.45,1327374,4
2015-03-16 00:00:00+05:30,275.45,276.45,267.15,272.25,1158109,0
2015-03-17 00:00:00+05:30,272.6,281.95,271.65,278.35,1858087,1
2015-03-18 00:00:00+05:30,280.65,285.6,278.15,281.65,1325369,2
2015-03-19 00:00:00+05:30,284.0,289.15,279.85,285.55,1820649,3
2015-03-20 00:00:00+05:30,289.8,291.0,274.2,278.2,2324985,4
2015-03-23 00:00:00+05:30,279.35,283.95,277.45,279.85,1140061,0
2015-03-24 00:00:00+05:30,279.8,282.55,275.7,276.3,725735,1
2015-03-25 00:00:00+05:30,277.25,283.65,276.65,279.95,959717,2
2015-03-26 00:00:00+05:30,279.85,287.35,278.25,284.55,1694828,3
2015-03-27 00:00:00+05:30,286.65,297.95,277.0,290.15,2625045,4
2015-03-30 00:00:00+05:30,293.15,297.25,291.35,293.75,1485677,0
2015-03-31 00:00:00+05:30,295.25,305.25,292.25,294.75,2623854,1
2015-04-01 00:00:00+05:30,295.65,299.75,290.65,293.8,1263388,2
2015-04-06 00:00:00+05:30,293.8,301.65,292.25,300.2,1888769,0
2015-04-07 00:00:00+05:30,303.25,319.2,300.7,315.5,2842805,1
2015-04-08 00:00:00+05:30,317.3,317.3,305.6,308.15,1741004,2
2015-04-09 00:00:00+05:30,308.4,313.45,301.45,302.85,1885806,3
2015-04-10 00:00:00+05:30,302.55,310.15,302.0,308.95,1762467,4
2015-04-13 00:00:00+05:30,309.95,318.95,308.4,316.45,3325753,0
2015-04-15 00:00:00+05:30,317.35,323.35,305.55,307.25,3550023,2
2015-04-16 00:00:00+05:30,308.6,311.9,292.45,301.3,1788201,3
2015-04-17 00:00:00+05:30,302.55,303.95,284.9,285.95,2555563,4
2015-04-20 00:00:00+05:30,286.0,286.3,269.4,273.25,1997796,0
2015-04-21 00:00:00+05:30,272.95,286.35,264.9,283.3,1804540,1
2015-04-22 00:00:00+05:30,285.6,290.35,278.8,286.55,2093006,2
2015-04-23 00:00:00+05:30,288.6,293.0,287.45,291.5,1526047,3
2015-04-24 00:00:00+05:30,292.45,292.45,282.45,289.8,1267341,4
