date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,381.0,381.05,377.05,377.7,321140,3
2015-01-02 00:00:00+05:30,378.0,383.5,378.0,380.95,960337,4
2015-01-05 00:00:00+05:30,379.1,381.6,377.1,380.0,842678,0
2015-01-06 00:00:00+05:30,377.0,378.45,361.2,367.9,1443145,1
2015-01-07 00:00:00+05:30,367.9,370.0,360.45,364.85,1527500,2
2015-01-08 00:00:00+05:30,366.85,372.0,362.1,364.5,729084,3
2015-01-09 00:00:00+05:30,367.5,368.0,357.25,360.8,1385760,4
2015-01-12 00:00:00+05:30,360.7,362.9,354.05,360.9,1646430,0
2015-01-13 00:00:00+05:30,362.0,367.5,360.4,361.75,1761201,1
2015-01-14 00:00:00+05:30,362.0,363.95,358.0,359.95,1392613,2
2015-01-15 00:00:00+05:30,363.0,370.75,361.0,369.4,2146779,3
2015-01-16 00:00:00+05:30,369.4,387.8,367.5,385.85,2633578,4
2015-01-19 00:00:00+05:30,388.0,389.6,381.05,384.6,798820,0
2015-01-20 00:00:00+05:30,384.9,393.2,380.8,390.7,1263250,1
2015-01-21 00:00:00+05:30,393.0,400.05,376.2,381.55,7657084,2
2015-01-22 00:00:00+05:30,384.0,390.8,383.5,389.5,1587469,3
2015-01-23 00:00:00+05:30,394.0,394.4,387.25,390.75,1321254,4
2015-01-27 00:00:00+05:30,387.6,391.75,384.2,389.95,1179774,1
2015-01-28 00:00:00+05:30,387.0,391.55,385.15,387.3,2090303,2
2015-01-29 00:00:00+05:30,388.0,389.95,382.5,386.05,3507244,3
2015-01-30 00:00:00+05:30,386.0,386.85,373.05,376.75,1861036,4
2015-02-02 00:00:00+05:30,376.0,376.0,369.1,371.75,1280710,0
2015-02-03 00:00:00+05:30,372.25,376.3,371.6,373.1,1032469,1
2015-02-04 00:00:00+05:30,376.0,376.0,362.0,365.2,1900037,2
2015-02-05 00:00:00+05:30,365.0,367.75,359.15,360.65,3533904,3
2015-02-06 00:00:00+05:30,359.5,366.75,359.5,361.55,3206207,4
2015-02-09 00:00:00+05:30,360.0,360.3,348.1,351.8,1323352,0
2015-02-10 00:00:00+05:30,348.2,353.85,345.95,350.0,1895192,1
2015-02-11 00:00:00+05:30,351.85,351.85,341.2,345.5,3085879,2
2015-02-12 00:00:00+05:30,351.0,362.9,350.45,361.2,5612430,3
2015-02-13 00:00:00+05:30,362.3,367.05,360.25,363.9,1402208,4
2015-02-16 00:00:00+05:30,365.0,366.0,358.7,360.3,1061105,0
2015-02-18 00:00:00+05:30,360.3,361.3,352.55,356.2,1613325,2
2015-02-19 00:00:00+05:30,358.6,361.45,350.55,353.4,794228,3
2015-02-20 00:00:00+05:30,353.0,360.5,352.0,358.8,976302,4
2015-02-23 00:00:00+05:30,358.8,361.4,342.7,344.6,1306772,0
2015-02-24 00:00:00+05:30,344.6,353.95,343.05,353.0,1248168,1
2015-02-25 00:00:00+05:30,352.7,353.6,347.1,348.55,1078737,2
2015-02-26 00:00:00+05:30,347.75,351.8,340.0,343.1,1938779,3
2015-02-27 00:00:00+05:30,346.0,350.45,342.0,348.95,5049108,4
2015-03-02 00:00:00+05:30,347.6,350.35,340.5,342.75,3356249,0
2015-03-03 00:00:00+05:30,346.5,349.25,340.75,347.95,4390082,1
2015-03-04 00:00:00+05:30,350.15,350.25,340.6,341.95,835797,2
2015-03-05 00:00:00+05:30,342.0,345.1,335.0,342.0,1293268,3
2015-03-09 00:00:00+05:30,340.0,342.5,335.8,336.7,786759,0
2015-03-10 00:00:00+05:30,333.3,345.1,333.3,341.9,1391166,1
2015-03-11 00:00:00+05:30,342.25,350.0,339.15,348.7,1390224,2
