date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,222.0,225.0,222.0,223.6,836653,3
2015-01-02 00:00:00+05:30,222.25,226.0,222.1,223.65,1850799,4
2015-01-05 00:00:00+05:30,222.2,231.35,222.2,229.6,3668113,0
2015-01-06 00:00:00+05:30,230.3,230.7,220.7,221.65,3767376,1
2015-01-07 00:00:00+05:30,221.7,223.6,214.5,218.8,2441198,2
2015-01-08 00:00:00+05:30,222.3,227.25,220.65,226.65,1751458,3
2015-01-09 00:00:00+05:30,228.1,228.6,221.35,224.1,1659291,4
2015-01-12 00:00:00+05:30,223.95,226.8,220.1,225.4,2008440,0
2015-01-13 00:00:00+05:30,226.75,228.4,222.05,223.65,2742530,1
2015-01-14 00:00:00+05:30,223.0,225.75,217.75,219.1,1998777,2
2015-01-15 00:00:00+05:30,222.05,225.9,218.9,222.4,2777582,3
2015-01-16 00:00:00+05:30,222.3,227.8,221.15,226.3,2398241,4
2015-01-19 00:00:00+05:30,226.4,230.65,224.5,228.85,2284195,0
2015-01-20 00:00:00+05:30,229.8,237.7,229.4,235.25,3144072,1
2015-01-21 00:00:00+05:30,235.65,236.45,228.1,232.35,2929541,2
2015-01-22 00:00:00+05:30,233.0,234.25,228.4,231.05,1870122,3
2015-01-23 00:00:00+05:30,232.0,233.15,225.05,225.8,2269971,4
2015-01-27 00:00:00+05:30,226.3,231.5,222.85,230.9,2313395,1
2015-01-28 00:00:00+05:30,227.2,233.75,224.15,226.85,2919031,2
2015-01-29 00:00:00+05:30,227.2,236.4,225.0,234.95,3050605,3
2015-01-30 00:00:00+05:30,236.75,246.0,234.0,242.55,6004542,4
2015-02-02 00:00:00+05:30,243.5,248.95,241.75,243.15,3574123,0
2015-02-03 00:00:00+05:30,245.7,249.8,236.2,238.55,6014205,1
2015-02-04 00:00:00+05:30,239.0,241.1,229.55,231.2,1996795,2
2015-02-05 00:00:00+05:30,231.05,233.4,225.8,226.85,1462081,3
2015-02-06 00:00:00+05:30,227.0,228.9,211.0,213.65,3519373,4
2015-02-09 00:00:00+05:30,204.1,204.75,177.55,187.1,19661639,0
2015-02-10 00:00:00+05:30,185.15,191.95,178.5,181.85,12258487,1
2015-02-11 00:00:00+05:30,183.5,183.9,176.5,179.65,8018843,2
2015-02-12 00:00:00+05:30,180.9,185.4,176.55,183.4,8673168,3
2015-02-13 00:00:00+05:30,185.0,185.7,181.55,182.7,3962246,4
2015-02-16 00:00:00+05:30,184.2,189.5,180.2,186.95,6955835,0
