date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,178.05,189.2,176.3,188.4,5125181,3
2015-01-02 00:00:00+05:30,189.3,189.9,183.45,184.55,3549473,4
2015-01-05 00:00:00+05:30,184.0,189.4,183.15,185.5,2741523,0
2015-01-06 00:00:00+05:30,184.3,191.6,181.0,185.15,4513270,1
2015-01-07 00:00:00+05:30,185.0,188.85,181.6,183.65,2111197,2
2015-01-08 00:00:00+05:30,185.0,188.0,183.15,185.6,2388577,3
2015-01-09 00:00:00+05:30,186.9,192.7,186.25,189.5,4701398,4
2015-01-12 00:00:00+05:30,190.0,190.9,187.1,188.7,2076536,0
2015-01-13 00:00:00+05:30,188.05,191.5,183.95,185.2,1853154,1
2015-01-14 00:00:00+05:30,185.4,187.9,183.35,185.4,2106732,2
2015-01-15 00:00:00+05:30,186.9,188.8,185.5,186.85,2149866,3
2015-01-16 00:00:00+05:30,187.3,188.7,184.65,185.2,2117686,4
2015-01-19 00:00:00+05:30,183.7,187.8,183.5,184.05,1159227,0
2015-01-20 00:00:00+05:30,183.25,186.4,179.15,179.9,1680593,1
2015-01-21 00:00:00+05:30,179.0,188.1,178.85,185.5,4856495,2
2015-01-22 00:00:00+05:30,186.0,193.9,185.25,192.05,6811305,3
2015-01-23 00:00:00+05:30,194.0,202.25,193.85,201.75,6030618,4
2015-01-27 00:00:00+05:30,202.3,202.45,197.5,198.75,1811362,1
2015-01-28 00:00:00+05:30,197.0,205.2,195.8,198.05,3505429,2
2015-01-29 00:00:00+05:30,198.05,198.4,192.65,193.8,3813829,3
2015-01-30 00:00:00+05:30,194.8,195.55,184.6,186.05,4436734,4
2015-02-02 00:00:00+05:30,188.0,198.0,185.0,195.05,4142589,0
2015-02-03 00:00:00+05:30,196.0,203.0,195.0,197.55,3883724,1
2015-02-04 00:00:00+05:30,198.1,199.3,192.2,193.0,1793823,2
2015-02-05 00:00:00+05:30,193.0,196.35,190.5,191.65,1609773,3
2015-02-06 00:00:00+05:30,191.7,191.7,183.25,184.5,2810317,4
2015-02-09 00:00:00+05:30,183.0,184.35,176.35,177.0,1299985,0
2015-02-10 00:00:00+05:30,176.0,181.35,173.0,174.2,2872494,1
2015-02-11 00:00:00+05:30,174.95,179.5,174.55,177.6,1837217,2
2015-02-12 00:00:00+05:30,178.4,180.15,177.05,177.95,1809859,3
2015-02-13 00:00:00+05:30,178.6,179.7,174.6,176.35,2755211,4
2015-02-16 00:00:00+05:30,176.95,183.9,175.9,180.25,2010898,0
2015-02-18 00:00:00+05:30,180.95,183.4,180.2,182.35,1107636,2
2015-02-19 00:00:00+05:30,183.4,185.3,181.3,184.25,1346928,3
2015-02-20 00:00:00+05:30,184.35,185.95,182.25,183.8,1609908,4
2015-02-23 00:00:00+05:30,185.0,186.8,180.3,182.2,2054083,0
2015-02-24 00:00:00+05:30,183.2,183.25,180.8,182.5,1248593,1
2015-02-25 00:00:00+05:30,183.35,183.55,176.55,178.15,1630178,2
2015-02-26 00:00:00+05:30,178.45,180.7,175.2,176.05,2840428,3
2015-02-27 00:00:00+05:30,174.45,181.9,174.45,180.4,1106152,4
2015-03-02 00:00:00+05:30,181.0,182.9,176.65,181.65,2209832,0
2015-03-03 00:00:00+05:30,182.6,184.15,180.45,181.05,1730144,1
2015-03-04 00:00:00+05:30,182.0,182.7,175.1,176.35,1298051,2
2015-03-05 00:00:00+05:30,178.0,181.8,177.0,180.85,1753972,3
2015-03-09 00:00:00+05:30,179.9,181.9,177.0,177.9,1175962,0
2015-03-10 00:00:00+05:30,178.0,183.3,178.0,182.0,1613330,1
2015-03-11 00:00:00+05:30,182.55,185.8,182.05,183.6,1801918,2
2015-03-12 00:00:00+05:30,187.5,193.55,187.0,192.45,3560313,3
2015-03-13 00:00:00+05:30,199.85,199.95,186.5,188.15,7135280,4
2015-03-16 00:00:00+05:30,188.15,192.65,185.75,186.85,2018264,0
2015-03-17 00:00:00+05:30,187.75,191.3,185.75,186.85,3550914,1
2015-03-18 00:00:00+05:30,187.2,187.95,182.7,183.75,1567226,2
2015-03-19 00:00:00+05:30,184.8,187.4,182.4,183.15,1172993,3
2015-03-20 00:00:00+05:30,182.0,183.15,178.65,180.9,2314486,4
2015-03-23 00:00:00+05:30,181.15,182.2,178.0,179.85,762236,0
2015-03-24 00:00:00+05:30,179.0,184.9,179.0,184.1,1170281,1
2015-03-25 00:00:00+05:30,184.8,187.45,181.5,183.05,2820543,2
2015-03-26 00:00:00+05:30,182.9,186.0,179.4,180.2,2350510,3
2015-03-27 00:00:00+05:30,181.7,182.0,174.6,178.4,1365991,4
2015-03-30 00:00:00+05:30,179.9,183.15,179.05,180.1,1640110,0
2015-03-31 00:00:00+05:30,180.5,182.5,177.05,177.75,1544409,1
2015-04-01 00:00:00+05:30,178.0,178.85,176.0,178.15,1154608,2
2015-04-06 00:00:00+05:30,178.7,179.0,176.3,177.8,1342587,0
2015-04-07 00:00:00+05:30,178.05,185.2,177.2,183.4,4166522,1
2015-04-08 00:00:00+05:30,185.1,187.8,183.45,184.2,2988024,2
