date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,77.4,78.47,77.27,77.94,188473,3
2015-01-02 00:00:00+05:30,78.47,78.93,77.6,77.81,685341,4
2015-01-05 00:00:00+05:30,79.75,81.41,79.38,80.41,2154176,0
2015-01-06 00:00:00+05:30,80.0,80.99,78.96,80.25,926264,1
2015-01-07 00:00:00+05:30,80.13,81.57,79.5,80.16,587038,2
2015-01-08 00:00:00+05:30,80.75,82.85,79.67,80.05,4622547,3
2015-01-09 00:00:00+05:30,80.66,80.75,79.34,79.87,799580,4
2015-01-12 00:00:00+05:30,80.05,81.82,79.38,80.86,869422,0
2015-01-13 00:00:00+05:30,80.54,81.24,79.46,79.67,496405,1
2015-01-14 00:00:00+05:30,79.59,80.45,77.68,78.26,657485,2
2015-01-15 00:00:00+05:30,79.71,80.91,79.09,79.25,669616,3
2015-01-16 00:00:00+05:30,79.25,79.3,78.18,78.35,313811,4
2015-01-19 00:00:00+05:30,78.35,78.59,77.35,77.6,419797,0
2015-01-20 00:00:00+05:30,77.27,79.25,77.27,78.88,1080277,1
2015-01-21 00:00:00+05:30,78.88,79.67,77.89,78.72,1077373,2
2015-01-22 00:00:00+05:30,78.85,79.34,77.27,77.56,465664,3
2015-01-23 00:00:00+05:30,78.39,78.88,76.45,77.03,386107,4
2015-01-27 00:00:00+05:30,78.51,80.75,77.81,78.93,1895001,1
2015-01-28 00:00:00+05:30,78.1,79.14,77.48,78.8,406897,2
2015-01-29 00:00:00+05:30,79.22,79.22,76.69,78.43,703523,3
2015-01-30 00:00:00+05:30,78.51,78.8,76.82,77.15,413348,4
2015-02-02 00:00:00+05:30,77.27,78.68,76.2,77.03,482515,0
2015-02-03 00:00:00+05:30,77.11,77.73,76.65,76.82,234060,1
2015-02-04 00:00:00+05:30,76.86,77.23,74.38,74.79,500119,2
2015-02-05 00:00:00+05:30,74.79,83.43,74.46,78.59,3649987,3
2015-02-06 00:00:00+05:30,78.59,80.95,78.02,78.31,591484,4
2015-02-09 00:00:00+05:30,77.85,79.01,77.48,78.1,287928,0
2015-02-10 00:00:00+05:30,78.1,79.3,77.68,78.88,263668,1
2015-02-11 00:00:00+05:30,78.88,79.34,78.1,79.05,278143,2
2015-02-12 00:00:00+05:30,78.72,79.05,77.06,77.6,444976,3
2015-02-13 00:00:00+05:30,77.68,78.43,77.19,77.97,472806,4
2015-02-16 00:00:00+05:30,77.94,78.85,77.15,78.1,465328,0
2015-02-18 00:00:00+05:30,78.51,81.82,78.18,80.66,1602986,2
2015-02-19 00:00:00+05:30,80.99,82.81,80.33,82.44,1192802,3
2015-02-20 00:00:00+05:30,82.97,83.8,81.32,81.77,1049794,4
2015-02-23 00:00:00+05:30,81.77,83.23,80.83,81.36,865426,0
2015-02-24 00:00:00+05:30,81.36,82.65,80.99,82.56,1627702,1
2015-02-25 00:00:00+05:30,82.68,83.02,80.66,81.04,559414,2
2015-02-26 00:00:00+05:30,81.24,82.32,80.25,82.03,467673,3
2015-02-27 00:00:00+05:30,82.03,82.6,81.82,82.4,654860,4
2015-03-02 00:00:00+05:30,82.23,83.31,81.49,82.4,1007767,0
2015-03-03 00:00:00+05:30,82.65,84.14,81.9,82.97,2657747,1
2015-03-04 00:00:00+05:30,84.3,84.63,82.32,82.6,722842,2
2015-03-05 00:00:00+05:30,82.97,82.97,81.57,81.98,376797,3
2015-03-09 00:00:00+05:30,82.4,82.65,81.07,81.86,1675407,0
2015-03-10 00:00:00+05:30,81.49,82.56,80.54,80.99,629905,1
2015-03-11 00:00:00+05:30,81.41,81.41,79.5,80.05,1158857,2
2015-03-12 00:00:00+05:30,80.16,82.23,79.79,81.82,355849,3
2015-03-13 00:00:00+05:30,82.23,82.56,81.04,81.36,367126,4
2015-03-16 00:00:00+05:30,80.29,81.74,79.46,79.84,207815,0
2015-03-17 00:00:00+05:30,80.25,81.15,78.96,79.59,326543,1
2015-03-18 00:00:00+05:30,79.87,80.37,78.76,79.79,10006680,2
2015-03-19 00:00:00+05:30,80.08,80.66,79.17,80.05,424992,3
2015-03-20 00:00:00+05:30,80.13,80.13,79.01,79.38,291727,4
2015-03-23 00:00:00+05:30,79.79,80.08,77.68,78.18,576579,0
2015-03-24 00:00:00+05:30,77.32,80.75,77.32,80.08,457856,1
2015-03-25 00:00:00+05:30,80.08,80.5,79.5,79.84,535821,2
2015-03-26 00:00:00+05:30,79.87,80.05,78.72,79.3,434301,3
2015-03-27 00:00:00+05:30,79.3,82.89,78.31,79.17,13425104,4
2015-03-30 00:00:00+05:30,80.13,80.95,78.76,79.34,291191,0
2015-03-31 00:00:00+05:30,79.38,80.99,79.25,80.08,557757,1
2015-04-01 00:00:00+05:30,80.45,81.61,79.67,81.24,221069,2
2015-04-06 00:00:00+05:30,82.48,82.48,79.75,80.05,207414,0
2015-04-07 00:00:00+05:30,80.41,80.7,79.55,80.13,795134,1
2015-04-08 00:00:00+05:30,80.5,80.58,79.84,80.08,265011,2
2015-04-09 00:00:00+05:30,80.5,80.5,77.89,78.35,1367218,3
2015-04-10 00:00:00+05:30,80.16,80.75,78.1,78.72,978099,4
2015-04-13 00:00:00+05:30,79.05,79.92,78.39,78.55,482464,0
2015-04-15 00:00:00+05:30,79.09,79.75,78.93,79.14,611303,2
2015-04-16 00:00:00+05:30,79.09,79.42,78.55,79.09,202046,3
2015-04-17 00:00:00+05:30,79.25,79.75,78.43,78.59,292256,4
2015-04-20 00:00:00+05:30,78.68,79.01,76.98,77.56,532849,0
2015-04-21 00:00:00+05:30,77.32,78.43,77.06,77.77,306020,1
2015-04-22 00:00:00+05:30,77.81,78.85,77.6,78.14,570708,2
2015-04-23 00:00:00+05:30,78.26,78.76,77.89,78.35,521886,3
2015-04-24 00:00:00+05:30,78.1,79.59,77.68,79.09,422737,4
2015-04-27 00:00:00+05:30,78.68,78.68,76.28,76.95,498022,0
2015-04-28 00:00:00+05:30,77.32,77.77,75.83,76.12,2670347,1
2015-04-29 00:00:00+05:30,76.12,78.02,76.12,77.48,559515,2
2015-04-30 00:00:00+05:30,77.81,78.93,77.19,78.02,692795,3
2015-05-04 00:00:00+05:30,78.39,79.25,78.05,79.01,258326,0
2015-05-05 00:00:00+05:30,78.59,79.42,78.23,78.43,304414,1
2015-05-06 00:00:00+05:30,78.51,80.5,78.51,79.79,561242,2
2015-05-07 00:00:00+05:30,80.54,80.54,79.09,79.3,934270,3
2015-05-08 00:00:00+05:30,79.14,80.0,78.93,79.34,695525,4
2015-05-11 00:00:00+05:30,78.93,80.25,78.02,78.51,337204,0
2015-05-12 00:00:00+05:30,78.51,79.75,77.81,79.42,228017,1
2015-05-13 00:00:00+05:30,79.01,83.76,78.8,82.52,1377581,2
2015-05-14 00:00:00+05:30,83.55,83.55,81.12,83.23,770999,3
2015-05-15 00:00:00+05:30,83.47,83.47,82.06,82.52,236491,4
2015-05-18 00:00:00+05:30,82.23,82.85,81.41,82.03,225605,0
2015-05-19 00:00:00+05:30,82.44,82.68,81.45,81.69,245482,1
2015-05-20 00:00:00+05:30,81.98,82.6,81.65,82.48,293910,2
2015-05-21 00:00:00+05:30,82.06,82.89,81.65,82.11,188594,3
2015-05-22 00:00:00+05:30,82.52,83.76,82.11,82.32,464284,4
2015-05-25 00:00:00+05:30,84.3,85.95,84.25,84.95,1668046,0
2015-05-26 00:00:00+05:30,85.13,85.13,82.11,82.44,537408,1
2015-05-27 00:00:00+05:30,82.23,83.8,81.74,83.23,348311,2
2015-05-28 00:00:00+05:30,83.64,84.22,82.15,83.55,919256,3
2015-05-29 00:00:00+05:30,83.55,85.54,82.85,84.92,400033,4
2015-06-01 00:00:00+05:30,84.5,85.83,83.88,85.16,489541,0
2015-06-02 00:00:00+05:30,85.13,85.33,83.51,84.71,484449,1
2015-06-03 00:00:00+05:30,83.88,85.05,81.57,84.01,326985,2
2015-06-04 00:00:00+05:30,83.64,85.08,83.64,84.67,315455,3
2015-06-05 00:00:00+05:30,84.3,85.08,83.8,84.79,490959,4
2015-06-08 00:00:00+05:30,85.21,85.21,82.65,83.05,250187,0
2015-06-09 00:00:00+05:30,83.05,84.17,82.48,83.85,492025,1
2015-06-10 00:00:00+05:30,83.68,85.86,83.43,85.5,1027202,2
2015-06-11 00:00:00+05:30,85.86,87.23,82.65,83.14,777313,3
2015-06-12 00:00:00+05:30,82.81,84.22,81.36,82.15,5022290,4
2015-06-15 00:00:00+05:30,82.97,84.25,79.87,81.15,775504,0
2015-06-16 00:00:00+05:30,81.41,83.47,81.07,83.23,488771,1
2015-06-17 00:00:00+05:30,82.89,84.71,82.11,83.8,620012,2
2015-06-18 00:00:00+05:30,84.25,85.13,83.88,84.95,503187,3
2015-06-19 00:00:00+05:30,85.13,85.13,83.64,84.01,147506,4
2015-06-22 00:00:00+05:30,83.59,85.13,83.59,84.14,343208,0
2015-06-23 00:00:00+05:30,85.13,85.5,83.55,84.25,720217,1
2015-06-24 00:00:00+05:30,83.93,84.38,82.23,82.6,482624,2
2015-06-25 00:00:00+05:30,82.23,84.09,82.23,83.88,385377,3
2015-06-26 00:00:00+05:30,83.47,83.96,82.81,83.68,230997,4
2015-06-29 00:00:00+05:30,82.56,83.88,82.35,83.64,364334,0
2015-06-30 00:00:00+05:30,83.76,84.22,82.81,83.43,1410860,1
2015-07-01 00:00:00+05:30,83.55,84.46,83.43,83.85,445651,2
2015-07-02 00:00:00+05:30,84.5,85.0,83.96,84.46,790816,3
