date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,75.75,75.95,74.8,75.05,3335568,3
2015-01-02 00:00:00+05:30,75.05,75.9,74.2,74.5,4671958,4
2015-01-05 00:00:00+05:30,74.93,75.05,73.68,73.9,4015974,0
2015-01-06 00:00:00+05:30,73.15,74.43,72.55,72.85,5133636,1
2015-01-07 00:00:00+05:30,73.0,74.08,72.38,73.08,4635120,2
2015-01-08 00:00:00+05:30,74.25,74.75,73.58,74.25,10707970,3
2015-01-09 00:00:00+05:30,74.88,75.22,74.03,74.63,7128944,4
2015-01-12 00:00:00+05:30,74.55,75.4,74.03,74.93,5754872,0
2015-01-13 00:00:00+05:30,75.08,75.4,73.28,74.18,5226262,1
2015-01-14 00:00:00+05:30,74.25,75.0,73.25,74.08,5299726,2
2015-01-15 00:00:00+05:30,76.5,76.9,71.63,72.33,18783478,3
2015-01-16 00:00:00+05:30,72.93,73.03,71.53,72.38,8802216,4
2015-01-19 00:00:00+05:30,72.6,73.7,72.43,73.47,9952050,0
2015-01-20 00:00:00+05:30,74.0,74.08,72.25,72.43,10663742,1
2015-01-21 00:00:00+05:30,72.95,73.2,71.3,72.2,12292622,2
2015-01-22 00:00:00+05:30,72.55,72.95,71.6,71.93,7370600,3
2015-01-23 00:00:00+05:30,72.9,72.95,71.65,71.95,6686906,4
2015-01-27 00:00:00+05:30,72.0,72.9,72.0,72.6,6674604,1
2015-01-28 00:00:00+05:30,72.5,73.78,72.43,72.55,9174358,2
2015-01-29 00:00:00+05:30,72.45,73.22,71.65,72.13,10361696,3
2015-01-30 00:00:00+05:30,72.5,72.65,70.47,70.93,6540618,4
2015-02-02 00:00:00+05:30,70.95,72.75,69.75,72.4,4263996,0
2015-02-03 00:00:00+05:30,72.9,73.05,71.45,71.55,5252160,1
2015-02-04 00:00:00+05:30,71.75,71.93,69.93,70.05,4880360,2
2015-02-05 00:00:00+05:30,69.95,69.97,66.55,68.53,10884832,3
2015-02-06 00:00:00+05:30,68.9,70.4,68.43,69.83,7816662,4
2015-02-09 00:00:00+05:30,69.0,71.2,69.0,70.35,6057002,0
2015-02-10 00:00:00+05:30,69.95,71.4,67.13,68.85,5472650,1
2015-02-11 00:00:00+05:30,69.18,70.28,68.0,69.88,3683836,2
2015-02-12 00:00:00+05:30,69.97,70.6,69.05,70.35,3205282,3
2015-02-13 00:00:00+05:30,70.58,70.75,69.35,69.97,3616122,4
2015-02-16 00:00:00+05:30,70.0,70.5,69.25,69.5,4675190,0
2015-02-18 00:00:00+05:30,69.5,69.97,68.1,68.35,5510626,2
2015-02-19 00:00:00+05:30,68.6,69.25,67.53,68.35,3906832,3
2015-02-20 00:00:00+05:30,68.5,70.25,68.08,69.43,3867048,4
2015-02-23 00:00:00+05:30,71.0,72.68,71.0,71.43,8335508,0
2015-02-24 00:00:00+05:30,71.75,71.95,70.5,70.93,4809242,1
2015-02-25 00:00:00+05:30,71.2,71.55,69.7,70.2,3880080,2
2015-02-26 00:00:00+05:30,70.3,70.4,69.1,69.47,8719124,3
2015-02-27 00:00:00+05:30,69.08,71.35,69.08,71.1,3911514,4
2015-03-02 00:00:00+05:30,72.5,75.7,71.9,75.08,11822278,0
2015-03-03 00:00:00+05:30,75.7,75.95,74.3,75.45,5302808,1
2015-03-04 00:00:00+05:30,76.75,77.2,72.38,73.03,6221302,2
2015-03-05 00:00:00+05:30,73.5,73.75,72.28,73.35,2779412,3
2015-03-09 00:00:00+05:30,72.25,72.7,71.0,71.5,2952272,0
2015-03-10 00:00:00+05:30,71.5,71.88,68.22,69.38,6970104,1
2015-03-11 00:00:00+05:30,69.45,69.78,68.55,69.22,4275620,2
2015-03-12 00:00:00+05:30,69.35,70.3,69.22,69.8,2513820,3
2015-03-13 00:00:00+05:30,70.25,70.4,67.68,68.0,6196714,4
2015-03-16 00:00:00+05:30,68.25,68.7,67.7,68.3,3382664,0
2015-03-17 00:00:00+05:30,68.75,70.75,68.75,70.35,3015166,1
2015-03-18 00:00:00+05:30,70.6,70.7,69.5,70.38,23554048,2
2015-03-19 00:00:00+05:30,71.0,71.3,69.0,69.68,2253804,3
2015-03-20 00:00:00+05:30,69.25,70.2,68.55,68.75,2829680,4
2015-03-23 00:00:00+05:30,69.2,69.22,67.3,67.8,1599708,0
2015-03-24 00:00:00+05:30,67.8,68.47,65.68,66.25,3731148,1
2015-03-25 00:00:00+05:30,66.45,68.5,66.33,68.18,2737970,2
2015-03-26 00:00:00+05:30,67.75,68.45,66.25,66.65,5942116,3
2015-03-27 00:00:00+05:30,66.9,67.0,63.65,65.78,6735426,4
2015-03-30 00:00:00+05:30,66.7,67.0,65.15,65.97,3118804,0
2015-03-31 00:00:00+05:30,66.45,66.97,64.9,66.03,3777944,1
2015-04-01 00:00:00+05:30,66.15,66.93,65.4,66.6,2512218,2
2015-04-06 00:00:00+05:30,66.65,66.95,64.55,65.1,4573566,0
2015-04-07 00:00:00+05:30,65.6,66.5,64.5,65.25,7918802,1
2015-04-08 00:00:00+05:30,65.5,65.53,64.05,65.25,7381624,2
2015-04-09 00:00:00+05:30,65.4,66.25,64.68,65.13,11463598,3
2015-04-10 00:00:00+05:30,65.22,65.45,64.15,64.35,6495198,4
2015-04-13 00:00:00+05:30,64.68,65.0,64.4,64.65,6213052,0
2015-04-15 00:00:00+05:30,65.03,67.43,65.0,66.28,8132774,2
2015-04-16 00:00:00+05:30,66.45,66.5,65.0,65.55,3303256,3
