date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,919.27,931.5,911.62,915.75,48475,3
2015-01-02 00:00:00+05:30,921.0,942.5,919.0,939.27,154493,4
2015-01-05 00:00:00+05:30,944.5,963.47,936.15,939.92,172236,0
2015-01-06 00:00:00+05:30,942.5,955.0,925.0,940.95,114142,1
2015-01-07 00:00:00+05:30,945.97,1004.45,945.97,997.87,473737,2
2015-01-08 00:00:00+05:30,1005.05,1008.5,981.2,984.6,226447,3
2015-01-09 00:00:00+05:30,988.0,989.9,963.52,972.65,241537,4
2015-01-12 00:00:00+05:30,977.0,987.5,961.0,966.0,138391,0
2015-01-13 00:00:00+05:30,974.0,985.0,962.75,966.7,231848,1
2015-01-14 00:00:00+05:30,975.5,987.5,966.5,973.02,329106,2
2015-01-15 00:00:00+05:30,1000.0,1000.0,960.5,967.07,190902,3
2015-01-16 00:00:00+05:30,972.5,979.92,958.5,964.35,197901,4
2015-01-19 00:00:00+05:30,970.0,971.0,948.25,954.32,140438,0
2015-01-20 00:00:00+05:30,956.0,970.95,955.0,960.37,129237,1
2015-01-21 00:00:00+05:30,956.0,967.5,948.0,957.52,135299,2
2015-01-22 00:00:00+05:30,955.25,962.45,948.12,950.57,143831,3
2015-01-23 00:00:00+05:30,960.0,963.5,953.0,957.32,230051,4
2015-01-27 00:00:00+05:30,965.0,970.0,952.5,957.17,113739,1
2015-01-28 00:00:00+05:30,960.0,960.2,952.5,956.87,227760,2
2015-01-29 00:00:00+05:30,962.45,962.45,950.05,954.17,88687,3
2015-01-30 00:00:00+05:30,957.5,957.5,937.55,944.5,100300,4
2015-02-02 00:00:00+05:30,944.5,955.6,944.5,950.05,162006,0
2015-02-03 00:00:00+05:30,958.5,969.0,955.32,962.12,240081,1
2015-02-04 00:00:00+05:30,977.5,981.85,940.6,947.05,340145,2
2015-02-05 00:00:00+05:30,952.22,953.25,923.12,926.75,153241,3
2015-02-06 00:00:00+05:30,935.0,943.6,928.55,939.57,251003,4
2015-02-09 00:00:00+05:30,936.5,957.95,932.0,941.07,343053,0
2015-02-10 00:00:00+05:30,952.0,969.5,950.97,966.62,179871,1
2015-02-11 00:00:00+05:30,968.5,968.5,953.0,964.85,195027,2
2015-02-12 00:00:00+05:30,968.8,987.5,962.5,983.75,534151,3
2015-02-13 00:00:00+05:30,988.0,1020.0,950.0,1011.45,322463,4
2015-02-16 00:00:00+05:30,1017.0,1022.5,1000.0,1017.1,281729,0
2015-02-18 00:00:00+05:30,1022.47,1042.5,1004.1,1027.9,147738,2
2015-02-19 00:00:00+05:30,1037.5,1049.97,1025.0,1040.55,132525,3
2015-02-20 00:00:00+05:30,1041.0,1058.5,1022.5,1048.77,166433,4
2015-02-23 00:00:00+05:30,1050.0,1050.0,1022.5,1030.2,187173,0
2015-02-24 00:00:00+05:30,1031.0,1044.0,1025.5,1036.5,89086,1
2015-02-25 00:00:00+05:30,1040.0,1041.47,1022.5,1034.7,177607,2
2015-02-26 00:00:00+05:30,1035.5,1049.17,1016.97,1027.82,172743,3
2015-02-27 00:00:00+05:30,1027.84,1053.5,1024.32,1041.72,259758,4
2015-03-02 00:00:00+05:30,1049.0,1081.47,1028.12,1061.2,390979,0
2015-03-03 00:00:00+05:30,1061.0,1094.5,1060.0,1084.32,373909,1
2015-03-04 00:00:00+05:30,1088.0,1097.5,1072.02,1076.25,227500,2
2015-03-05 00:00:00+05:30,1078.0,1123.0,1077.5,1105.37,405278,3
2015-03-09 00:00:00+05:30,1102.5,1105.5,1077.87,1099.67,179452,0
2015-03-10 00:00:00+05:30,1105.0,1106.09,1058.25,1078.02,156789,1
2015-03-11 00:00:00+05:30,1081.5,1100.5,1070.0,1077.5,99255,2
2015-03-12 00:00:00+05:30,1081.0,1107.5,1079.55,1098.32,252424,3
2015-03-13 00:00:00+05:30,1102.0,1108.32,1071.09,1078.47,109240,4
2015-03-16 00:00:00+05:30,1082.0,1084.9,1062.52,1075.25,72911,0
2015-03-17 00:00:00+05:30,1085.0,1109.4,1077.5,1095.47,210959,1
2015-03-18 00:00:00+05:30,1100.0,1125.0,1092.5,1098.32,247249,2
