date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,233.3,235.6,231.65,232.4,196868,3
2015-01-02 00:00:00+05:30,233.95,235.9,231.8,234.7,529083,4
2015-01-05 00:00:00+05:30,235.95,236.95,231.1,231.45,446506,0
2015-01-06 00:00:00+05:30,230.0,230.9,222.5,224.35,1014678,1
2015-01-07 00:00:00+05:30,225.95,234.0,224.35,227.75,994200,2
2015-01-08 00:00:00+05:30,229.1,232.0,228.05,230.0,481222,3
2015-01-09 00:00:00+05:30,231.15,232.0,227.6,229.45,491481,4
2015-01-12 00:00:00+05:30,229.8,235.75,228.65,234.75,788529,0
2015-01-13 00:00:00+05:30,235.95,240.0,234.35,235.75,767947,1
2015-01-14 00:00:00+05:30,236.0,255.0,236.0,251.05,3159750,2
2015-01-15 00:00:00+05:30,255.0,257.89,245.25,249.9,2159249,3
2015-01-16 00:00:00+05:30,252.55,253.35,247.7,251.4,1310592,4
2015-01-19 00:00:00+05:30,252.05,262.3,251.7,257.8,1523471,0
2015-01-20 00:00:00+05:30,257.64,257.95,248.4,254.15,1163764,1
2015-01-21 00:00:00+05:30,256.7,256.7,249.05,250.2,1098590,2
2015-01-22 00:00:00+05:30,252.9,254.0,248.55,250.2,1351354,3
2015-01-23 00:00:00+05:30,251.55,253.15,246.35,249.6,1352803,4
2015-01-27 00:00:00+05:30,250.5,251.35,247.8,248.75,1761657,1
2015-01-28 00:00:00+05:30,247.3,253.25,247.3,251.75,972156,2
2015-01-29 00:00:00+05:30,251.25,259.89,250.3,258.39,2990179,3
2015-01-30 00:00:00+05:30,259.45,262.5,251.0,256.25,2151258,4
2015-02-02 00:00:00+05:30,257.1,263.6,255.7,261.64,1392155,0
2015-02-03 00:00:00+05:30,263.0,267.6,261.85,265.85,2296886,1
2015-02-04 00:00:00+05:30,267.0,270.0,262.1,267.64,1171222,2
2015-02-05 00:00:00+05:30,267.95,271.0,264.8,267.89,1907513,3
2015-02-06 00:00:00+05:30,267.0,275.0,266.14,273.45,1281980,4
2015-02-09 00:00:00+05:30,270.05,273.0,259.0,261.05,1508962,0
2015-02-10 00:00:00+05:30,260.1,273.25,258.25,270.5,1260943,1
2015-02-11 00:00:00+05:30,271.7,276.89,267.1,272.0,1796398,2
2015-02-12 00:00:00+05:30,271.8,273.55,263.39,267.14,1152534,3
2015-02-13 00:00:00+05:30,268.85,273.35,265.3,272.25,866174,4
2015-02-16 00:00:00+05:30,270.25,272.5,264.6,266.85,907037,0
2015-02-18 00:00:00+05:30,266.0,269.89,264.85,268.8,690544,2
2015-02-19 00:00:00+05:30,265.0,268.25,265.0,266.95,860826,3
