date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,323.33,331.63,321.33,321.97,101337,3
2015-01-02 00:00:00+05:30,321.97,330.0,321.67,323.37,80622,4
2015-01-05 00:00:00+05:30,325.0,327.0,320.63,323.49,123936,0
2015-01-06 00:00:00+05:30,325.0,325.0,316.42,317.33,247080,1
2015-01-07 00:00:00+05:30,317.37,321.67,316.7,320.05,195519,2
2015-01-08 00:00:00+05:30,321.67,335.57,320.79,330.05,680133,3
2015-01-09 00:00:00+05:30,332.67,349.67,330.83,341.19,807138,4
2015-01-12 00:00:00+05:30,343.0,355.9,341.67,352.95,450912,0
2015-01-13 00:00:00+05:30,352.67,362.15,351.2,360.39,282648,1
2015-01-14 00:00:00+05:30,364.67,364.67,358.7,361.82,423687,2
2015-01-15 00:00:00+05:30,364.02,365.19,354.0,356.43,662685,3
2015-01-16 00:00:00+05:30,357.67,380.4,357.67,375.13,751965,4
2015-01-19 00:00:00+05:30,378.22,378.33,355.47,364.69,153723,0
2015-01-20 00:00:00+05:30,369.67,369.67,351.7,360.65,415689,1
2015-01-21 00:00:00+05:30,360.0,367.67,356.67,365.11,406944,2
2015-01-22 00:00:00+05:30,364.0,365.33,353.7,363.45,237471,3
2015-01-23 00:00:00+05:30,362.33,370.0,358.39,366.73,448311,4
2015-01-27 00:00:00+05:30,368.0,368.33,355.67,359.43,460722,1
2015-01-28 00:00:00+05:30,360.67,374.99,360.65,371.0,489180,2
2015-01-29 00:00:00+05:30,370.0,370.0,360.03,363.35,353493,3
2015-01-30 00:00:00+05:30,364.67,364.67,350.03,353.73,442149,4
2015-02-02 00:00:00+05:30,353.5,359.59,348.59,357.13,396822,0
2015-02-03 00:00:00+05:30,358.09,364.53,357.19,361.23,203103,1
2015-02-04 00:00:00+05:30,361.23,362.17,340.75,341.85,429774,2
2015-02-05 00:00:00+05:30,341.67,362.82,341.65,359.49,1861905,3
2015-02-06 00:00:00+05:30,361.27,378.87,358.33,374.19,715053,4
2015-02-09 00:00:00+05:30,371.67,371.67,358.87,365.05,320442,0
2015-02-10 00:00:00+05:30,366.33,380.57,347.33,354.13,794769,1
2015-02-11 00:00:00+05:30,360.83,374.65,355.43,371.55,776859,2
2015-02-12 00:00:00+05:30,376.67,383.33,372.0,382.13,363312,3
2015-02-13 00:00:00+05:30,382.07,401.3,373.6,392.61,438051,4
2015-02-16 00:00:00+05:30,393.67,395.85,386.67,390.25,240684,0
2015-02-18 00:00:00+05:30,391.67,396.92,388.5,392.15,319782,2
2015-02-19 00:00:00+05:30,393.33,394.67,377.17,383.22,425616,3
2015-02-20 00:00:00+05:30,384.67,384.67,367.03,368.07,288324,4
2015-02-23 00:00:00+05:30,377.0,377.0,364.0,364.78,422589,0
2015-02-24 00:00:00+05:30,364.67,375.0,364.4,373.52,238320,1
2015-02-25 00:00:00+05:30,378.67,380.93,368.5,375.63,282759,2
2015-02-26 00:00:00+05:30,378.93,380.82,367.87,376.33,660618,3
2015-02-27 00:00:00+05:30,376.33,385.61,374.35,382.17,891429,4
2015-03-02 00:00:00+05:30,380.0,382.67,368.33,375.4,964365,0
2015-03-03 00:00:00+05:30,376.67,390.33,373.33,381.4,380778,1
2015-03-04 00:00:00+05:30,388.33,406.33,388.33,402.0,467901,2
2015-03-05 00:00:00+05:30,401.67,409.07,392.52,401.65,773802,3
2015-03-09 00:00:00+05:30,403.0,403.0,390.83,394.85,234273,0
2015-03-10 00:00:00+05:30,397.97,406.0,394.9,400.15,443274,1
2015-03-11 00:00:00+05:30,405.8,405.8,377.8,382.23,410010,2
2015-03-12 00:00:00+05:30,382.82,389.67,379.33,387.45,355839,3
2015-03-13 00:00:00+05:30,387.33,387.33,368.87,374.78,292296,4
2015-03-16 00:00:00+05:30,375.0,376.4,356.27,359.09,487122,0
2015-03-17 00:00:00+05:30,363.33,372.17,361.72,370.83,316836,1
2015-03-18 00:00:00+05:30,369.99,381.03,367.32,377.77,860658,2
2015-03-19 00:00:00+05:30,380.67,384.33,368.4,376.39,583482,3
2015-03-20 00:00:00+05:30,376.19,376.19,359.99,365.35,677874,4
2015-03-23 00:00:00+05:30,375.0,375.0,361.39,364.22,203598,0
2015-03-24 00:00:00+05:30,370.0,377.13,363.37,370.75,872874,1
2015-03-25 00:00:00+05:30,370.0,370.13,361.67,366.07,1466277,2
2015-03-26 00:00:00+05:30,363.37,368.15,353.52,357.92,777348,3
2015-03-27 00:00:00+05:30,361.67,362.0,350.0,352.3,720297,4
2015-03-30 00:00:00+05:30,353.4,357.87,343.33,348.1,735903,0
2015-03-31 00:00:00+05:30,346.67,356.63,341.69,346.99,1029132,1
2015-04-01 00:00:00+05:30,349.67,363.0,346.99,359.65,376752,2
2015-04-06 00:00:00+05:30,355.07,375.05,354.45,372.65,736683,0
2015-04-07 00:00:00+05:30,372.03,385.67,368.33,380.19,374163,1
