date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,245.07,245.93,244.0,244.77,2538978,3
2015-01-02 00:00:00+05:30,244.83,246.77,244.83,245.53,6599676,4
2015-01-05 00:00:00+05:30,245.8,247.87,245.03,246.5,8238987,0
2015-01-06 00:00:00+05:30,245.77,246.27,239.33,240.17,13093040,1
2015-01-07 00:00:00+05:30,238.0,242.67,235.33,235.7,11960580,2
2015-01-08 00:00:00+05:30,236.97,242.23,236.97,241.6,8449164,3
2015-01-09 00:00:00+05:30,242.07,243.9,235.4,237.93,10808513,4
2015-01-12 00:00:00+05:30,238.3,240.9,237.4,238.57,9868950,0
2015-01-13 00:00:00+05:30,238.93,241.13,238.2,240.07,11623503,1
2015-01-14 00:00:00+05:30,239.8,239.8,230.73,231.87,16224852,2
2015-01-15 00:00:00+05:30,235.4,239.93,233.93,238.6,16047717,3
2015-01-16 00:00:00+05:30,238.97,241.3,236.23,240.07,10813589,4
2015-01-19 00:00:00+05:30,240.0,241.17,237.33,239.2,6853235,0
2015-01-20 00:00:00+05:30,239.4,247.9,238.73,247.4,12014673,1
2015-01-21 00:00:00+05:30,248.63,248.63,232.8,235.13,32448215,2
2015-01-22 00:00:00+05:30,235.33,239.87,232.57,233.77,29627576,3
2015-01-23 00:00:00+05:30,235.63,237.3,232.53,232.97,16747499,4
2015-01-27 00:00:00+05:30,233.33,240.67,232.9,240.1,25255862,1
2015-01-28 00:00:00+05:30,240.0,242.3,238.37,241.53,12317799,2
2015-01-29 00:00:00+05:30,242.0,248.0,240.0,246.8,21093768,3
2015-01-30 00:00:00+05:30,246.67,248.0,242.43,245.7,13917158,4
2015-02-02 00:00:00+05:30,244.67,246.13,239.6,240.43,8493861,0
2015-02-03 00:00:00+05:30,240.97,244.67,240.97,244.03,6298908,1
2015-02-04 00:00:00+05:30,245.0,247.0,243.57,245.07,5807210,2
2015-02-05 00:00:00+05:30,243.93,248.07,242.47,245.93,9478187,3
2015-02-06 00:00:00+05:30,244.07,249.6,244.07,249.0,7324875,4
2015-02-09 00:00:00+05:30,247.43,249.23,244.47,245.27,7188008,0
