date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,164.0,164.0,161.57,161.93,142730,3
2015-01-02 00:00:00+05:30,162.8,165.9,162.05,164.98,658102,4
2015-01-05 00:00:00+05:30,163.5,165.5,161.6,161.98,953386,0
2015-01-06 00:00:00+05:30,161.55,165.5,160.75,163.82,1854742,1
2015-01-07 00:00:00+05:30,163.85,164.88,158.55,161.0,1531050,2
2015-01-08 00:00:00+05:30,161.0,161.93,159.75,160.78,1607030,3
2015-01-09 00:00:00+05:30,161.25,164.9,157.8,159.48,28894954,4
2015-01-12 00:00:00+05:30,159.85,161.0,157.55,159.38,7008848,0
2015-01-13 00:00:00+05:30,159.65,168.88,159.38,167.13,15155768,1
2015-01-14 00:00:00+05:30,167.05,182.5,167.03,175.93,10559456,2
2015-01-15 00:00:00+05:30,179.5,179.95,174.83,177.7,2655748,3
2015-01-16 00:00:00+05:30,178.28,180.35,174.08,175.13,1251134,4
2015-01-19 00:00:00+05:30,175.95,184.75,174.58,178.93,2461916,0
2015-01-20 00:00:00+05:30,180.0,180.0,173.08,175.58,1228736,1
2015-01-21 00:00:00+05:30,176.0,181.45,174.53,176.4,3524786,2
2015-01-22 00:00:00+05:30,175.8,182.45,175.8,180.98,2148870,3
2015-01-23 00:00:00+05:30,182.7,183.35,176.75,179.33,1930778,4
2015-01-27 00:00:00+05:30,180.0,180.9,175.05,176.75,6040466,1
2015-01-28 00:00:00+05:30,177.3,178.35,175.5,176.6,487904,2
2015-01-29 00:00:00+05:30,176.85,177.15,173.03,175.9,678956,3
2015-01-30 00:00:00+05:30,177.33,182.25,176.0,180.4,4729500,4
2015-02-02 00:00:00+05:30,180.85,186.0,179.13,180.25,5856806,0
2015-02-03 00:00:00+05:30,179.6,183.45,169.33,174.85,5544084,1
2015-02-04 00:00:00+05:30,176.25,179.43,176.0,177.95,1285060,2
2015-02-05 00:00:00+05:30,179.4,179.4,177.03,178.35,1281778,3
2015-02-06 00:00:00+05:30,178.85,178.85,174.85,176.3,1454680,4
2015-02-09 00:00:00+05:30,176.4,177.75,172.5,176.2,1596838,0
2015-02-10 00:00:00+05:30,174.23,177.53,172.8,176.0,976000,1
2015-02-11 00:00:00+05:30,176.5,177.5,175.6,177.15,456326,2
2015-02-12 00:00:00+05:30,177.98,177.98,174.33,175.73,1816240,3
2015-02-13 00:00:00+05:30,176.5,177.55,176.0,177.43,1067198,4
2015-02-16 00:00:00+05:30,176.5,177.95,176.0,176.63,459846,0
2015-02-18 00:00:00+05:30,177.43,187.18,176.63,179.05,1668672,2
