date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,556.0,565.67,551.0,563.66,451940,3
2015-01-02 00:00:00+05:30,564.0,572.4,558.29,562.55,1107210,4
2015-01-05 00:00:00+05:30,566.6,566.6,555.0,558.72,545510,0
2015-01-06 00:00:00+05:30,559.6,565.2,550.55,559.49,904490,1
2015-01-07 00:00:00+05:30,556.2,566.0,550.61,561.34,825565,2
2015-01-08 00:00:00+05:30,561.8,570.71,560.53,566.69,1304430,3
2015-01-09 00:00:00+05:30,569.0,574.6,566.32,571.42,2708760,4
2015-01-12 00:00:00+05:30,590.0,628.73,582.8,608.95,7742810,0
2015-01-13 00:00:00+05:30,611.8,627.76,611.2,620.81,2814310,1
2015-01-14 00:00:00+05:30,622.4,627.0,608.03,612.89,1448840,2
2015-01-15 00:00:00+05:30,618.0,618.0,604.13,608.03,1092860,3
2015-01-16 00:00:00+05:30,610.0,647.78,608.1,640.85,3530555,4
2015-01-19 00:00:00+05:30,644.2,682.8,636.2,674.65,3363840,0
2015-01-20 00:00:00+05:30,677.0,689.6,660.0,673.0,3407760,1
2015-01-21 00:00:00+05:30,676.0,680.98,664.2,667.86,1401855,2
2015-01-22 00:00:00+05:30,668.02,715.0,668.02,709.81,4701000,3
2015-01-23 00:00:00+05:30,710.03,717.19,690.0,704.99,2446270,4
2015-01-27 00:00:00+05:30,712.84,715.99,684.25,698.85,1961155,1
2015-01-28 00:00:00+05:30,700.4,700.4,686.04,692.81,1170310,2
2015-01-29 00:00:00+05:30,692.8,700.01,676.81,699.58,1753365,3
2015-01-30 00:00:00+05:30,703.6,714.99,685.0,690.27,1770620,4
2015-02-02 00:00:00+05:30,692.1,705.0,650.1,652.36,2665235,0
2015-02-03 00:00:00+05:30,656.96,679.6,650.0,673.94,1921525,1
2015-02-04 00:00:00+05:30,678.0,686.47,670.21,675.35,1308815,2
2015-02-05 00:00:00+05:30,679.9,689.41,670.22,678.17,994925,3
2015-02-06 00:00:00+05:30,681.6,688.0,668.4,674.16,628360,4
2015-02-09 00:00:00+05:30,670.99,683.68,668.02,676.69,643155,0
2015-02-10 00:00:00+05:30,675.96,684.76,658.01,662.69,877130,1
2015-02-11 00:00:00+05:30,665.2,671.17,654.8,661.27,878140,2
2015-02-12 00:00:00+05:30,664.4,682.0,664.4,675.9,823690,3
2015-02-13 00:00:00+05:30,685.96,691.6,677.75,684.06,851225,4
2015-02-16 00:00:00+05:30,687.96,687.96,661.0,664.72,769080,0
2015-02-18 00:00:00+05:30,677.8,681.94,666.25,671.17,4358570,2
2015-02-19 00:00:00+05:30,672.96,680.0,665.4,668.08,683960,3
2015-02-20 00:00:00+05:30,669.8,669.8,660.0,661.91,515305,4
2015-02-23 00:00:00+05:30,668.4,670.8,650.2,653.41,525010,0
2015-02-24 00:00:00+05:30,655.4,662.35,638.17,652.35,1167060,1
2015-02-25 00:00:00+05:30,656.8,679.74,655.0,674.37,1400505,2
2015-02-26 00:00:00+05:30,675.6,699.4,667.01,695.16,1623075,3
2015-02-27 00:00:00+05:30,696.0,704.8,679.09,684.2,1381170,4
2015-03-02 00:00:00+05:30,686.0,698.9,682.82,693.73,704935,0
2015-03-03 00:00:00+05:30,694.06,728.6,694.06,720.23,2043040,1
2015-03-04 00:00:00+05:30,723.6,809.6,714.0,771.21,4075330,2
2015-03-05 00:00:00+05:30,781.6,816.4,766.62,772.33,2807980,3
2015-03-09 00:00:00+05:30,771.0,799.6,724.81,729.32,3118990,0
2015-03-10 00:00:00+05:30,737.6,744.6,722.96,735.01,1245745,1
2015-03-11 00:00:00+05:30,737.7,744.0,714.2,724.09,1221695,2
2015-03-12 00:00:00+05:30,729.1,735.54,700.2,706.38,1712345,3
2015-03-13 00:00:00+05:30,712.4,726.8,706.24,709.34,1446500,4
2015-03-16 00:00:00+05:30,709.8,719.0,700.2,710.63,745725,0
2015-03-17 00:00:00+05:30,717.43,743.98,715.0,738.92,1697800,1
2015-03-18 00:00:00+05:30,742.6,763.0,728.24,756.04,1913555,2
2015-03-19 00:00:00+05:30,764.8,775.8,760.2,770.93,1020830,3
2015-03-20 00:00:00+05:30,772.8,774.34,734.91,741.18,1076315,4
2015-03-23 00:00:00+05:30,742.0,744.78,716.4,718.69,656770,0
2015-03-24 00:00:00+05:30,721.2,750.76,719.02,732.74,1179970,1
2015-03-25 00:00:00+05:30,737.6,751.98,716.25,720.07,1471825,2
2015-03-26 00:00:00+05:30,719.96,727.89,700.02,704.97,1301935,3
2015-03-27 00:00:00+05:30,710.0,723.6,691.01,716.38,1416015,4
2015-03-30 00:00:00+05:30,722.68,736.99,717.0,731.66,816775,0
2015-03-31 00:00:00+05:30,734.0,740.8,721.0,731.46,1176815,1
2015-04-01 00:00:00+05:30,729.8,731.02,720.25,726.7,810645,2
2015-04-06 00:00:00+05:30,732.2,742.99,724.2,737.31,722655,0
2015-04-07 00:00:00+05:30,742.0,755.6,736.41,753.18,1381465,1
2015-04-08 00:00:00+05:30,754.0,806.0,754.0,788.17,3354520,2
2015-04-09 00:00:00+05:30,794.6,796.76,770.0,772.2,969775,3
2015-04-10 00:00:00+05:30,772.8,806.0,772.0,780.44,1743325,4
2015-04-13 00:00:00+05:30,783.96,787.6,770.0,776.13,731845,0
2015-04-15 00:00:00+05:30,774.4,791.99,772.44,777.64,960435,2
2015-04-16 00:00:00+05:30,781.58,781.94,753.4,763.49,1066085,3
2015-04-17 00:00:00+05:30,766.8,779.0,765.0,769.09,673345,4
2015-04-20 00:00:00+05:30,772.2,772.2,726.0,733.92,1439670,0
2015-04-21 00:00:00+05:30,733.92,733.92,714.42,717.02,1441585,1
2015-04-22 00:00:00+05:30,719.18,729.64,691.0,706.33,1292625,2
2015-04-23 00:00:00+05:30,708.97,722.66,703.73,711.42,1103910,3
2015-04-24 00:00:00+05:30,711.8,713.6,678.0,683.25,961835,4
2015-04-27 00:00:00+05:30,677.0,693.2,656.8,659.64,2345590,0
2015-04-28 00:00:00+05:30,655.0,692.8,655.0,687.65,1533595,1
2015-04-29 00:00:00+05:30,683.0,685.0,661.99,672.13,1110840,2
2015-04-30 00:00:00+05:30,671.0,678.8,660.0,666.03,1356400,3
2015-05-04 00:00:00+05:30,669.16,710.92,660.2,705.15,1439465,0
2015-05-05 00:00:00+05:30,707.4,728.8,692.01,722.71,1276095,1
2015-05-06 00:00:00+05:30,712.0,721.0,691.24,695.44,993775,2
2015-05-07 00:00:00+05:30,690.0,702.01,670.0,674.96,1259585,3
2015-05-08 00:00:00+05:30,679.99,689.0,664.2,666.27,793205,4
2015-05-11 00:00:00+05:30,669.02,679.7,665.02,673.97,907760,0
2015-05-12 00:00:00+05:30,673.4,673.4,644.42,652.46,958815,1
2015-05-13 00:00:00+05:30,659.4,725.6,658.4,719.47,2853855,2
2015-05-14 00:00:00+05:30,717.51,748.0,703.1,734.84,2201445,3
2015-05-15 00:00:00+05:30,737.0,758.4,732.6,745.31,1428825,4
2015-05-18 00:00:00+05:30,747.8,769.4,746.72,757.85,1296100,0
2015-05-19 00:00:00+05:30,759.8,773.6,752.44,760.43,1144625,1
2015-05-20 00:00:00+05:30,765.8,765.8,743.6,747.06,1010805,2
2015-05-21 00:00:00+05:30,752.4,756.0,727.4,739.89,1119465,3
2015-05-22 00:00:00+05:30,743.4,745.8,733.1,741.44,978005,4
2015-05-25 00:00:00+05:30,738.4,755.6,731.58,746.53,662945,0
2015-05-26 00:00:00+05:30,749.78,757.39,716.02,725.88,2075125,1
2015-05-27 00:00:00+05:30,707.4,731.97,695.0,700.12,2624795,2
2015-05-28 00:00:00+05:30,697.8,705.0,670.21,685.36,2348965,3
2015-05-29 00:00:00+05:30,691.8,736.0,688.2,727.32,6875275,4
2015-06-01 00:00:00+05:30,710.0,721.4,700.25,715.85,1334475,0
2015-06-02 00:00:00+05:30,715.8,716.54,702.2,708.81,640240,1
2015-06-03 00:00:00+05:30,708.0,709.79,671.0,686.51,999815,2
2015-06-04 00:00:00+05:30,691.2,715.14,685.8,708.96,987615,3
2015-06-05 00:00:00+05:30,704.98,721.9,698.2,716.74,891920,4
2015-06-08 00:00:00+05:30,724.98,738.99,704.45,707.5,781660,0
2015-06-09 00:00:00+05:30,707.99,715.18,692.2,695.72,650160,1
2015-06-10 00:00:00+05:30,699.0,711.0,694.0,707.2,654875,2
2015-06-11 00:00:00+05:30,712.71,720.2,706.0,709.81,1002240,3
2015-06-12 00:00:00+05:30,709.81,719.0,700.0,715.53,546220,4
2015-06-15 00:00:00+05:30,716.58,726.0,710.4,719.1,669220,0
2015-06-16 00:00:00+05:30,719.8,719.99,697.04,700.84,738635,1
2015-06-17 00:00:00+05:30,703.4,704.8,689.01,692.46,1115080,2
2015-06-18 00:00:00+05:30,693.52,697.75,680.11,685.07,861545,3
2015-06-19 00:00:00+05:30,689.6,689.6,667.32,670.35,1524660,4
2015-06-22 00:00:00+05:30,672.8,682.0,668.0,670.42,999530,0
2015-06-23 00:00:00+05:30,672.9,673.0,652.21,658.18,2146085,1
2015-06-24 00:00:00+05:30,663.58,674.31,660.0,666.34,1669660,2
2015-06-25 00:00:00+05:30,665.6,665.6,656.48,660.11,1212145,3
2015-06-26 00:00:00+05:30,660.99,669.6,655.0,656.44,1472590,4
2015-06-29 00:00:00+05:30,650.0,664.8,639.99,662.98,976990,0
2015-06-30 00:00:00+05:30,668.6,678.0,657.6,676.21,1762620,1
2015-07-01 00:00:00+05:30,678.2,680.21,669.6,671.92,765565,2
2015-07-02 00:00:00+05:30,678.0,679.8,660.02,662.13,692445,3
2015-07-03 00:00:00+05:30,663.96,697.16,662.0,673.99,3079300,4
2015-07-06 00:00:00+05:30,668.2,690.0,666.0,687.15,1081735,0
2015-07-07 00:00:00+05:30,690.0,704.0,690.0,700.17,1433540,1
2015-07-08 00:00:00+05:30,697.97,705.76,682.02,684.22,1032145,2
2015-07-09 00:00:00+05:30,690.0,704.0,686.83,701.28,1522120,3
2015-07-10 00:00:00+05:30,704.2,707.76,690.25,697.65,480555,4
2015-07-13 00:00:00+05:30,697.2,700.0,690.6,694.64,362385,0
2015-07-14 00:00:00+05:30,698.8,705.53,692.04,694.77,628745,1
2015-07-15 00:00:00+05:30,696.6,703.54,694.81,698.46,539940,2
2015-07-16 00:00:00+05:30,696.4,713.8,696.4,703.44,880225,3
2015-07-17 00:00:00+05:30,704.38,719.54,697.83,717.68,1152270,4
2015-07-20 00:00:00+05:30,722.0,732.8,719.98,725.87,695995,0
2015-07-21 00:00:00+05:30,726.4,728.48,700.0,705.37,575435,1
2015-07-22 00:00:00+05:30,706.0,718.98,700.35,715.5,770460,2
2015-07-23 00:00:00+05:30,714.86,725.0,707.0,717.76,683615,3
2015-07-24 00:00:00+05:30,724.4,766.8,716.62,757.8,3314875,4
2015-07-27 00:00:00+05:30,757.0,758.18,734.0,738.31,689240,0
2015-07-28 00:00:00+05:30,739.58,748.4,727.0,740.78,614005,1
2015-07-29 00:00:00+05:30,741.0,767.58,724.0,730.82,1458935,2
2015-07-30 00:00:00+05:30,733.8,744.66,732.05,734.86,721095,3
2015-07-31 00:00:00+05:30,729.8,745.69,729.8,741.13,480280,4
2015-08-03 00:00:00+05:30,744.99,748.76,717.3,719.59,690380,0
2015-08-04 00:00:00+05:30,725.56,725.56,698.42,707.62,1458015,1
