date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,492.24,495.5,489.23,493.6,2002764,3
2015-01-02 00:00:00+05:30,493.0,504.77,493.0,503.3,6778320,4
2015-01-05 00:00:00+05:30,502.48,507.5,494.38,498.98,9937024,0
2015-01-06 00:00:00+05:30,495.0,496.25,483.53,488.55,9667316,1
2015-01-07 00:00:00+05:30,491.25,493.69,487.5,490.89,7249916,2
2015-01-08 00:00:00+05:30,496.4,499.25,487.5,493.37,13564920,3
2015-01-09 00:00:00+05:30,495.03,527.25,478.27,518.61,44863328,4
2015-01-12 00:00:00+05:30,523.0,529.8,518.75,528.99,12758888,0
2015-01-13 00:00:00+05:30,526.95,526.95,518.75,522.23,8801236,1
2015-01-14 00:00:00+05:30,524.63,533.25,523.15,532.17,9921260,2
2015-01-15 00:00:00+05:30,533.8,538.2,528.07,533.57,8342452,3
2015-01-16 00:00:00+05:30,537.0,540.0,528.0,529.58,6690960,4
2015-01-19 00:00:00+05:30,530.0,533.09,523.65,525.63,4087744,0
2015-01-20 00:00:00+05:30,526.75,533.25,525.36,531.05,6804504,1
2015-01-21 00:00:00+05:30,532.88,543.99,529.5,542.48,8494908,2
2015-01-22 00:00:00+05:30,543.7,550.75,540.33,549.11,9958396,3
2015-01-23 00:00:00+05:30,550.0,556.25,541.28,553.77,9486328,4
2015-01-27 00:00:00+05:30,555.25,555.25,532.53,534.13,13739968,1
2015-01-28 00:00:00+05:30,537.5,538.7,532.58,536.14,13134356,2
2015-01-29 00:00:00+05:30,536.25,537.48,531.9,536.38,15369424,3
2015-01-30 00:00:00+05:30,540.38,540.64,531.74,535.48,10833744,4
2015-02-02 00:00:00+05:30,535.38,538.0,531.52,534.22,8702540,0
2015-02-03 00:00:00+05:30,534.22,534.99,525.5,530.23,5265956,1
2015-02-04 00:00:00+05:30,534.98,537.5,531.6,535.72,5160016,2
2015-02-05 00:00:00+05:30,537.7,555.0,537.0,548.45,11875936,3
2015-02-06 00:00:00+05:30,551.25,561.95,547.13,557.63,7453728,4
2015-02-09 00:00:00+05:30,550.0,563.5,550.0,562.23,6536868,0
2015-02-10 00:00:00+05:30,560.75,574.5,560.25,569.58,8516920,1
2015-02-11 00:00:00+05:30,570.13,573.3,564.07,571.22,5796972,2
2015-02-12 00:00:00+05:30,570.75,580.49,568.25,577.8,6287536,3
2015-02-13 00:00:00+05:30,574.9,581.68,571.5,574.03,5657516,4
2015-02-16 00:00:00+05:30,570.08,576.73,566.32,569.69,6244276,0
