date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,649.5,660.5,644.38,647.92,374762,3
2015-01-02 00:00:00+05:30,649.95,656.5,646.0,649.55,389032,4
2015-01-05 00:00:00+05:30,646.0,653.55,633.53,635.83,177348,0
2015-01-06 00:00:00+05:30,635.5,635.5,593.3,603.45,578544,1
2015-01-07 00:00:00+05:30,603.45,610.95,592.5,596.08,337656,2
2015-01-08 00:00:00+05:30,599.0,608.5,597.55,602.98,329618,3
2015-01-09 00:00:00+05:30,606.0,634.75,606.0,630.53,482700,4
2015-01-12 00:00:00+05:30,632.5,646.38,619.08,644.08,253392,0
2015-01-13 00:00:00+05:30,644.5,672.0,643.65,665.68,664804,1
2015-01-14 00:00:00+05:30,671.95,702.0,668.85,693.95,681598,2
2015-01-15 00:00:00+05:30,702.25,704.4,680.0,682.5,256642,3
2015-01-16 00:00:00+05:30,687.0,702.45,682.5,690.13,254082,4
2015-01-19 00:00:00+05:30,697.98,710.0,695.0,707.35,572656,0
2015-01-20 00:00:00+05:30,710.0,714.0,670.0,678.15,1167324,1
2015-01-21 00:00:00+05:30,685.0,685.0,660.03,662.28,411906,2
2015-01-22 00:00:00+05:30,670.0,674.5,653.08,657.63,309420,3
2015-01-23 00:00:00+05:30,665.0,668.48,653.9,657.3,269192,4
2015-01-27 00:00:00+05:30,658.0,660.0,649.6,652.95,404222,1
2015-01-28 00:00:00+05:30,652.95,655.0,643.3,646.92,247932,2
2015-01-29 00:00:00+05:30,650.0,669.5,641.5,652.63,694204,3
2015-01-30 00:00:00+05:30,655.0,664.48,652.05,660.55,393414,4
2015-02-02 00:00:00+05:30,658.0,672.75,655.05,665.3,442674,0
2015-02-03 00:00:00+05:30,664.95,669.93,624.05,647.83,384284,1
2015-02-04 00:00:00+05:30,650.0,662.5,650.0,660.1,267066,2
2015-02-05 00:00:00+05:30,662.5,680.63,659.18,667.93,527762,3
2015-02-06 00:00:00+05:30,668.08,688.25,668.08,679.35,560474,4
2015-02-09 00:00:00+05:30,674.33,692.0,672.5,685.95,481946,0
2015-02-10 00:00:00+05:30,685.5,690.0,666.6,682.23,224674,1
2015-02-11 00:00:00+05:30,680.0,704.0,680.0,696.53,382460,2
2015-02-12 00:00:00+05:30,697.0,720.0,697.0,714.45,491630,3
2015-02-13 00:00:00+05:30,716.75,727.5,715.25,725.43,427432,4
2015-02-16 00:00:00+05:30,727.5,744.5,726.03,741.53,512004,0
2015-02-18 00:00:00+05:30,741.53,742.0,720.95,731.75,171410,2
2015-02-19 00:00:00+05:30,729.5,750.0,728.28,740.85,297420,3
2015-02-20 00:00:00+05:30,742.5,743.5,717.5,722.58,167810,4
2015-02-23 00:00:00+05:30,725.0,738.5,721.05,723.75,208122,0
2015-02-24 00:00:00+05:30,744.5,744.5,724.18,727.0,333654,1
2015-02-25 00:00:00+05:30,727.5,735.0,720.0,722.18,176752,2
2015-02-26 00:00:00+05:30,724.5,728.88,702.68,707.35,386446,3
2015-02-27 00:00:00+05:30,709.5,732.05,705.13,723.1,109736,4
2015-03-02 00:00:00+05:30,726.5,742.0,718.25,730.33,176014,0
2015-03-03 00:00:00+05:30,733.03,750.0,730.08,737.93,366054,1
2015-03-04 00:00:00+05:30,741.6,745.1,720.5,728.3,242704,2
2015-03-05 00:00:00+05:30,730.1,740.45,728.35,735.5,125040,3
2015-03-09 00:00:00+05:30,710.0,715.0,683.53,704.15,850852,0
2015-03-10 00:00:00+05:30,706.35,712.33,695.5,700.9,442700,1
2015-03-11 00:00:00+05:30,707.2,710.8,694.9,701.15,202428,2
2015-03-12 00:00:00+05:30,699.53,709.83,697.3,705.6,399286,3
