date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,344.0,349.0,325.05,336.45,28029,3
2015-01-02 00:00:00+05:30,334.0,346.0,334.0,338.65,1111,4
2015-01-05 00:00:00+05:30,337.05,338.8,325.3,329.25,414,0
2015-01-06 00:00:00+05:30,327.0,332.05,325.0,328.05,1285,1
2015-01-07 00:00:00+05:30,327.05,339.7,325.2,327.9,397,2
2015-01-08 00:00:00+05:30,328.0,334.9,325.55,327.14,258,3
2015-01-09 00:00:00+05:30,327.2,336.7,325.0,327.55,352,4
2015-01-12 00:00:00+05:30,337.2,337.2,325.0,325.3,1288,0
2015-01-13 00:00:00+05:30,335.0,365.0,325.35,355.25,27290,1
2015-01-14 00:00:00+05:30,358.0,359.0,344.55,345.6,1192,2
2015-01-15 00:00:00+05:30,350.0,374.0,342.1,365.5,68074,3
2015-01-16 00:00:00+05:30,368.05,398.7,348.0,388.4,121265,4
2015-01-19 00:00:00+05:30,393.9,399.0,383.05,387.4,21172,0
2015-01-20 00:00:00+05:30,382.05,399.0,375.0,391.75,15710,1
2015-01-21 00:00:00+05:30,397.85,397.9,380.0,382.85,3378,2
2015-01-22 00:00:00+05:30,382.1,393.95,378.0,385.3,2910,3
2015-01-23 00:00:00+05:30,380.15,393.15,373.25,382.95,4495,4
2015-01-27 00:00:00+05:30,383.0,383.0,373.0,373.9,1182,1
2015-01-28 00:00:00+05:30,388.05,388.05,371.05,373.15,2496,2
2015-01-29 00:00:00+05:30,373.2,379.95,354.0,364.75,2823,3
2015-01-30 00:00:00+05:30,356.0,378.35,345.0,359.6,3834,4
2015-02-02 00:00:00+05:30,364.25,370.0,345.0,357.25,1850,0
2015-02-03 00:00:00+05:30,374.0,374.9,350.5,371.55,3876,1
2015-02-04 00:00:00+05:30,370.05,381.0,355.45,364.25,5346,2
2015-02-05 00:00:00+05:30,351.2,372.0,351.2,361.85,1639,3
2015-02-06 00:00:00+05:30,354.35,368.95,350.0,351.55,1992,4
2015-02-09 00:00:00+05:30,352.95,370.0,352.45,367.45,1695,0
2015-02-10 00:00:00+05:30,369.85,369.9,352.0,353.4,801,1
2015-02-11 00:00:00+05:30,365.55,366.3,356.0,364.65,746,2
2015-02-12 00:00:00+05:30,364.7,369.4,361.0,361.35,656,3
2015-02-13 00:00:00+05:30,361.4,365.2,342.0,356.7,4520,4
2015-02-16 00:00:00+05:30,353.1,355.0,350.95,351.85,1180,0
2015-02-18 00:00:00+05:30,348.3,367.85,346.0,347.7,1772,2
2015-02-19 00:00:00+05:30,345.0,351.0,336.0,350.6,351,3
2015-02-20 00:00:00+05:30,359.0,388.0,345.45,379.65,24211,4
2015-02-23 00:00:00+05:30,383.1,393.2,365.0,367.85,54408,0
