date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,157.4,159.0,155.4,158.44,2350082,3
2015-01-02 00:00:00+05:30,158.9,161.19,158.35,160.1,2923839,4
2015-01-05 00:00:00+05:30,161.0,161.94,155.5,156.85,4830121,0
2015-01-06 00:00:00+05:30,156.3,156.3,151.15,153.4,7054029,1
2015-01-07 00:00:00+05:30,153.8,154.5,146.69,148.9,6638158,2
2015-01-08 00:00:00+05:30,150.69,153.19,148.55,152.55,3540099,3
2015-01-09 00:00:00+05:30,153.1,155.25,152.1,155.0,3743205,4
2015-01-12 00:00:00+05:30,155.19,155.19,150.5,151.1,4659450,0
2015-01-13 00:00:00+05:30,152.1,154.4,150.75,151.69,4324660,1
2015-01-14 00:00:00+05:30,150.94,151.35,140.8,142.15,13580758,2
2015-01-15 00:00:00+05:30,143.55,145.75,138.35,141.9,10860317,3
2015-01-16 00:00:00+05:30,141.5,143.4,137.75,138.55,9096928,4
2015-01-19 00:00:00+05:30,140.94,141.69,139.5,140.25,8541810,0
2015-01-20 00:00:00+05:30,141.0,145.19,141.0,144.69,8856169,1
2015-01-21 00:00:00+05:30,145.65,146.35,140.5,143.19,8871757,2
2015-01-22 00:00:00+05:30,143.05,144.9,141.1,143.44,6918171,3
2015-01-23 00:00:00+05:30,145.6,146.25,142.1,144.8,6943971,4
2015-01-27 00:00:00+05:30,139.9,144.5,139.0,142.5,7886739,1
2015-01-28 00:00:00+05:30,141.75,143.1,139.65,140.15,7496686,2
2015-01-29 00:00:00+05:30,139.9,142.9,138.25,142.4,10636771,3
2015-01-30 00:00:00+05:30,143.0,143.1,138.6,139.69,7570814,4
2015-02-02 00:00:00+05:30,140.0,145.69,139.5,145.25,7296741,0
2015-02-03 00:00:00+05:30,145.85,148.5,142.9,146.44,6262548,1
2015-02-04 00:00:00+05:30,147.0,153.8,146.0,152.4,8349284,2
2015-02-05 00:00:00+05:30,152.3,153.9,146.75,148.05,6672029,3
2015-02-06 00:00:00+05:30,148.0,150.0,145.65,147.3,5623571,4
2015-02-09 00:00:00+05:30,146.3,149.0,145.5,146.55,9737189,0
2015-02-10 00:00:00+05:30,148.5,153.69,146.55,149.19,8706407,1
2015-02-11 00:00:00+05:30,149.55,151.5,147.05,149.85,6154345,2
2015-02-12 00:00:00+05:30,151.8,153.4,149.05,152.8,10713094,3
2015-02-13 00:00:00+05:30,153.0,156.1,152.0,153.55,5666609,4
2015-02-16 00:00:00+05:30,157.0,158.0,150.25,150.94,4949268,0
2015-02-18 00:00:00+05:30,151.0,152.44,149.6,151.65,3717870,2
2015-02-19 00:00:00+05:30,151.0,157.8,150.1,156.25,8185032,3
2015-02-20 00:00:00+05:30,158.0,160.69,155.19,156.55,6630757,4
2015-02-23 00:00:00+05:30,161.6,161.8,154.19,154.85,6743403,0
2015-02-24 00:00:00+05:30,155.0,156.9,151.4,153.65,6455384,1
2015-02-25 00:00:00+05:30,154.6,155.44,152.25,153.65,3479311,2
2015-02-26 00:00:00+05:30,153.1,154.0,148.0,149.75,9010829,3
2015-02-27 00:00:00+05:30,150.55,155.8,149.8,155.15,6534491,4
2015-03-02 00:00:00+05:30,154.19,157.4,153.5,156.55,4452819,0
2015-03-03 00:00:00+05:30,157.5,159.3,156.15,158.69,3718817,1
2015-03-04 00:00:00+05:30,160.0,160.0,152.3,153.1,5559004,2
2015-03-05 00:00:00+05:30,153.05,154.0,146.9,148.1,8404364,3
2015-03-09 00:00:00+05:30,149.4,149.85,140.0,140.8,8031261,0
2015-03-10 00:00:00+05:30,142.6,142.6,136.65,138.05,6588296,1
2015-03-11 00:00:00+05:30,138.85,138.85,127.2,130.35,21561044,2
2015-03-12 00:00:00+05:30,131.75,135.69,129.1,134.9,14242872,3
2015-03-13 00:00:00+05:30,136.69,136.75,131.05,131.69,6690050,4
2015-03-16 00:00:00+05:30,131.0,131.4,123.1,126.8,10785285,0
2015-03-17 00:00:00+05:30,128.0,134.75,126.8,134.25,9699896,1
2015-03-18 00:00:00+05:30,134.0,134.8,131.8,133.15,4154051,2
2015-03-19 00:00:00+05:30,134.0,136.19,131.3,132.3,4626972,3
2015-03-20 00:00:00+05:30,132.15,135.0,130.55,132.05,4836454,4
2015-03-23 00:00:00+05:30,131.94,136.8,131.94,135.9,6306085,0
2015-03-24 00:00:00+05:30,135.8,135.9,132.0,132.85,4386125,1
