date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,71.0,74.7,70.55,73.8,490411,3
2015-01-02 00:00:00+05:30,73.5,74.9,72.8,73.45,252761,4
2015-01-05 00:00:00+05:30,73.0,74.5,73.0,73.34,134899,0
2015-01-06 00:00:00+05:30,72.5,72.59,69.65,70.05,164543,1
2015-01-07 00:00:00+05:30,70.0,70.7,68.3,68.9,186557,2
2015-01-08 00:00:00+05:30,69.34,71.75,69.34,70.95,184440,3
2015-01-09 00:00:00+05:30,71.45,71.65,70.0,70.15,123438,4
2015-01-12 00:00:00+05:30,70.55,70.75,69.65,70.3,102340,0
2015-01-13 00:00:00+05:30,71.0,75.15,70.0,72.59,1004379,1
2015-01-14 00:00:00+05:30,72.5,74.0,71.0,71.8,241416,2
2015-01-15 00:00:00+05:30,72.0,72.8,71.34,71.7,134011,3
2015-01-16 00:00:00+05:30,71.15,72.95,71.09,71.34,148663,4
2015-01-19 00:00:00+05:30,71.05,72.25,71.0,71.09,112029,0
2015-01-20 00:00:00+05:30,71.15,73.8,71.15,71.7,323102,1
2015-01-21 00:00:00+05:30,71.8,72.4,70.65,71.15,150198,2
2015-01-22 00:00:00+05:30,71.9,72.09,70.55,71.0,159068,3
2015-01-23 00:00:00+05:30,71.5,71.84,70.2,70.65,159827,4
2015-01-27 00:00:00+05:30,70.8,71.95,70.34,70.59,141716,1
2015-01-28 00:00:00+05:30,70.59,70.9,69.5,69.84,161896,2
2015-01-29 00:00:00+05:30,69.8,71.09,69.34,69.95,123033,3
2015-01-30 00:00:00+05:30,70.9,71.4,69.5,69.7,137297,4
2015-02-02 00:00:00+05:30,69.7,70.45,69.7,70.0,77663,0
2015-02-03 00:00:00+05:30,70.3,71.25,70.0,70.2,145558,1
2015-02-04 00:00:00+05:30,70.75,71.95,70.3,71.0,263387,2
2015-02-05 00:00:00+05:30,71.34,73.55,70.4,71.25,475827,3
2015-02-06 00:00:00+05:30,69.0,70.59,67.75,69.84,372806,4
2015-02-09 00:00:00+05:30,69.34,69.34,68.25,68.5,124803,0
2015-02-10 00:00:00+05:30,68.3,69.2,68.09,68.84,134305,1
2015-02-11 00:00:00+05:30,69.3,70.34,68.3,69.75,119525,2
2015-02-12 00:00:00+05:30,69.75,70.75,68.75,70.05,140202,3
2015-02-13 00:00:00+05:30,70.5,71.4,69.7,70.05,129578,4
2015-02-16 00:00:00+05:30,71.7,71.7,69.75,70.15,189846,0
2015-02-18 00:00:00+05:30,71.34,72.0,70.8,71.05,175460,2
2015-02-19 00:00:00+05:30,71.4,81.5,71.15,77.75,3700250,3
2015-02-20 00:00:00+05:30,77.7,79.3,74.59,76.0,936323,4
2015-02-23 00:00:00+05:30,76.25,78.25,74.7,75.2,339612,0
2015-02-24 00:00:00+05:30,75.25,75.65,72.05,72.45,331443,1
2015-02-25 00:00:00+05:30,72.65,74.25,72.09,72.4,252795,2
2015-02-26 00:00:00+05:30,73.2,73.5,71.0,71.55,231749,3
2015-02-27 00:00:00+05:30,72.3,73.7,71.59,72.75,368947,4
2015-03-02 00:00:00+05:30,72.09,72.8,71.05,71.55,145096,0
2015-03-03 00:00:00+05:30,72.45,74.2,71.2,72.8,532426,1
2015-03-04 00:00:00+05:30,73.09,74.0,71.25,71.59,295180,2
2015-03-05 00:00:00+05:30,71.5,73.95,71.09,73.7,285356,3
2015-03-09 00:00:00+05:30,74.3,74.3,71.34,71.75,136805,0
2015-03-10 00:00:00+05:30,72.45,73.7,70.8,73.05,286385,1
2015-03-11 00:00:00+05:30,73.7,74.2,71.4,73.7,257113,2
2015-03-12 00:00:00+05:30,76.0,76.59,72.09,72.5,765212,3
2015-03-13 00:00:00+05:30,73.2,73.8,71.0,71.84,266695,4
2015-03-16 00:00:00+05:30,73.3,74.0,71.0,71.3,357847,0
2015-03-17 00:00:00+05:30,71.95,71.95,70.59,71.4,224880,1
2015-03-18 00:00:00+05:30,72.95,74.15,71.4,71.7,852199,2
2015-03-19 00:00:00+05:30,72.4,72.4,70.2,70.59,180242,3
2015-03-20 00:00:00+05:30,70.59,72.9,68.4,68.75,344743,4
2015-03-23 00:00:00+05:30,69.0,69.15,67.09,67.45,181076,0
2015-03-24 00:00:00+05:30,67.9,67.95,65.59,65.9,203711,1
2015-03-25 00:00:00+05:30,66.0,66.5,64.0,64.15,191426,2
2015-03-26 00:00:00+05:30,64.0,64.0,61.4,61.8,214367,3
2015-03-27 00:00:00+05:30,62.3,62.8,60.1,60.5,223451,4
2015-03-30 00:00:00+05:30,61.4,63.8,60.55,63.0,343410,0
2015-03-31 00:00:00+05:30,66.0,66.0,63.05,63.6,519218,1
2015-04-01 00:00:00+05:30,63.7,65.55,62.6,64.95,253656,2
2015-04-06 00:00:00+05:30,65.4,65.59,64.4,65.15,148668,0
2015-04-07 00:00:00+05:30,65.65,67.5,65.2,66.5,337877,1
2015-04-08 00:00:00+05:30,67.2,68.34,66.5,67.0,269681,2
2015-04-09 00:00:00+05:30,67.15,68.75,66.2,67.0,349534,3
2015-04-10 00:00:00+05:30,67.3,71.2,66.7,69.7,926038,4
2015-04-13 00:00:00+05:30,69.7,72.34,69.0,70.2,430659,0
2015-04-15 00:00:00+05:30,70.34,71.2,68.5,69.0,171263,2
2015-04-16 00:00:00+05:30,69.2,69.5,67.84,68.3,133048,3
2015-04-17 00:00:00+05:30,68.2,68.84,67.05,67.3,138067,4
2015-04-20 00:00:00+05:30,67.3,67.65,65.34,65.7,127974,0
2015-04-21 00:00:00+05:30,65.95,65.95,64.9,65.09,98603,1
2015-04-22 00:00:00+05:30,65.15,66.7,64.15,65.15,143641,2
2015-04-23 00:00:00+05:30,65.95,65.95,64.3,64.8,100533,3
2015-04-24 00:00:00+05:30,65.45,65.5,63.5,63.85,96088,4
2015-04-27 00:00:00+05:30,64.5,64.5,62.0,62.45,128237,0
2015-04-28 00:00:00+05:30,63.0,63.1,61.85,62.75,96600,1
2015-04-29 00:00:00+05:30,63.45,64.0,62.75,63.4,93574,2
2015-04-30 00:00:00+05:30,63.15,63.65,62.4,62.75,79256,3
2015-05-04 00:00:00+05:30,63.4,66.25,63.1,64.8,212194,0
2015-05-05 00:00:00+05:30,64.4,65.7,64.15,65.0,166324,1
2015-05-06 00:00:00+05:30,64.95,65.45,63.0,63.3,112424,2
2015-05-07 00:00:00+05:30,63.3,63.3,61.1,61.75,90959,3
2015-05-08 00:00:00+05:30,62.15,62.9,62.15,62.45,85611,4
2015-05-11 00:00:00+05:30,63.95,64.3,62.95,63.7,198992,0
2015-05-12 00:00:00+05:30,63.95,63.95,62.0,62.4,82504,1
2015-05-13 00:00:00+05:30,62.95,65.34,58.95,63.35,623938,2
2015-05-14 00:00:00+05:30,63.1,63.1,62.2,62.85,113631,3
2015-05-15 00:00:00+05:30,63.0,64.15,62.2,62.75,230135,4
2015-05-18 00:00:00+05:30,63.0,63.3,62.5,62.9,116819,0
2015-05-19 00:00:00+05:30,62.95,63.6,62.45,62.9,104503,1
2015-05-20 00:00:00+05:30,62.8,63.9,62.75,63.45,193178,2
2015-05-21 00:00:00+05:30,64.05,64.45,62.8,63.25,174311,3
2015-05-22 00:00:00+05:30,63.2,63.65,62.5,62.65,104089,4
2015-05-25 00:00:00+05:30,62.45,62.85,61.8,62.25,60519,0
2015-05-26 00:00:00+05:30,62.45,62.45,61.35,61.75,71040,1
2015-05-27 00:00:00+05:30,61.6,62.75,61.2,62.0,142956,2
2015-05-28 00:00:00+05:30,61.8,63.4,61.4,62.45,178231,3
2015-05-29 00:00:00+05:30,62.5,62.9,61.55,62.0,196760,4
2015-06-01 00:00:00+05:30,62.6,63.3,62.1,62.9,144098,0
2015-06-02 00:00:00+05:30,63.2,63.2,61.2,61.4,88856,1
2015-06-03 00:00:00+05:30,62.0,62.0,58.65,59.8,141836,2
2015-06-04 00:00:00+05:30,60.5,60.5,51.85,56.0,527630,3
2015-06-05 00:00:00+05:30,56.9,56.9,55.5,56.65,122780,4
2015-06-08 00:00:00+05:30,56.85,61.3,56.0,59.9,202732,0
2015-06-09 00:00:00+05:30,60.0,60.0,58.5,59.05,59520,1
2015-06-10 00:00:00+05:30,59.15,60.2,59.0,59.5,58682,2
2015-06-11 00:00:00+05:30,60.0,60.25,57.8,59.0,91061,3
2015-06-12 00:00:00+05:30,58.45,59.45,57.1,58.0,41026,4
2015-06-15 00:00:00+05:30,58.0,58.95,57.2,58.05,59105,0
2015-06-16 00:00:00+05:30,57.85,59.95,56.8,59.25,70598,1
2015-06-17 00:00:00+05:30,59.3,61.85,58.7,61.05,207556,2
2015-06-18 00:00:00+05:30,60.65,61.55,60.5,61.05,83954,3
2015-06-19 00:00:00+05:30,61.15,62.9,60.9,61.1,73762,4
2015-06-22 00:00:00+05:30,61.2,62.2,60.5,61.6,109761,0
2015-06-23 00:00:00+05:30,62.4,62.7,61.5,62.1,91488,1
