date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,152.0,158.35,150.5,156.55,6913722,3
2015-01-02 00:00:00+05:30,158.0,164.6,157.6,161.94,8169041,4
2015-01-05 00:00:00+05:30,164.8,166.75,161.19,162.85,12103749,0
2015-01-06 00:00:00+05:30,160.94,163.4,151.05,152.65,9730592,1
2015-01-07 00:00:00+05:30,154.19,154.75,148.6,150.35,5299465,2
2015-01-08 00:00:00+05:30,152.69,158.5,152.1,157.9,6049252,3
2015-01-09 00:00:00+05:30,159.1,161.44,151.5,152.85,6935232,4
2015-01-12 00:00:00+05:30,152.1,153.15,147.9,149.4,4015320,0
2015-01-13 00:00:00+05:30,150.5,155.85,147.5,148.75,6560402,1
2015-01-14 00:00:00+05:30,149.69,152.0,145.19,146.85,5640225,2
2015-01-15 00:00:00+05:30,149.3,153.69,147.19,151.8,7036088,3
2015-01-16 00:00:00+05:30,150.94,154.3,148.75,150.85,5230710,4
2015-01-19 00:00:00+05:30,150.94,153.6,149.6,151.65,3156454,0
2015-01-20 00:00:00+05:30,152.8,157.6,152.3,155.35,6752913,1
2015-01-21 00:00:00+05:30,156.6,157.15,151.1,152.8,5694164,2
2015-01-22 00:00:00+05:30,152.8,155.1,151.3,153.65,6123257,3
2015-01-23 00:00:00+05:30,156.0,160.25,151.94,158.4,6530249,4
2015-01-27 00:00:00+05:30,158.9,160.94,156.55,159.0,6069112,1
2015-01-28 00:00:00+05:30,158.6,158.6,154.1,155.1,3970022,2
2015-01-29 00:00:00+05:30,154.6,159.0,151.3,157.4,11319602,3
2015-01-30 00:00:00+05:30,156.8,160.8,154.19,158.65,4080173,4
2015-02-02 00:00:00+05:30,158.5,160.3,153.55,154.75,2895611,0
2015-02-03 00:00:00+05:30,155.44,155.75,150.75,152.1,2936509,1
2015-02-04 00:00:00+05:30,151.5,159.1,149.75,153.8,9302887,2
2015-02-05 00:00:00+05:30,154.0,154.35,144.5,146.3,4196240,3
2015-02-06 00:00:00+05:30,146.1,147.35,140.0,142.05,4937771,4
2015-02-09 00:00:00+05:30,140.0,145.6,138.05,141.94,5872054,0
2015-02-10 00:00:00+05:30,140.35,144.9,140.1,142.69,4284793,1
2015-02-11 00:00:00+05:30,142.69,154.19,141.6,151.19,10619398,2
2015-02-12 00:00:00+05:30,154.0,154.8,145.4,146.75,6514194,3
2015-02-13 00:00:00+05:30,148.05,153.3,146.65,152.25,4261357,4
2015-02-16 00:00:00+05:30,152.94,154.65,149.25,152.15,5493106,0
2015-02-18 00:00:00+05:30,153.5,157.75,151.0,155.35,6370662,2
2015-02-19 00:00:00+05:30,155.5,200.5,153.69,195.35,68648559,3
2015-02-20 00:00:00+05:30,206.55,208.0,185.4,194.25,57545881,4
2015-02-23 00:00:00+05:30,190.0,194.25,186.45,190.85,13311692,0
2015-02-24 00:00:00+05:30,190.0,190.75,180.5,182.75,7878063,1
2015-02-25 00:00:00+05:30,183.0,187.75,182.0,182.9,5981834,2
2015-02-26 00:00:00+05:30,183.85,186.8,181.7,184.3,7300109,3
2015-02-27 00:00:00+05:30,185.0,209.9,185.0,193.85,28561146,4
2015-03-02 00:00:00+05:30,192.8,194.6,182.65,188.7,8512932,0
2015-03-03 00:00:00+05:30,189.5,195.6,188.3,193.4,7098665,1
2015-03-04 00:00:00+05:30,196.9,201.1,184.3,188.55,15468255,2
2015-03-05 00:00:00+05:30,188.8,192.3,182.1,185.5,7760617,3
2015-03-09 00:00:00+05:30,195.1,201.0,191.9,194.6,13528386,0
2015-03-10 00:00:00+05:30,195.95,200.0,182.1,190.05,10825621,1
2015-03-11 00:00:00+05:30,188.0,192.9,186.0,190.85,6414497,2
2015-03-12 00:00:00+05:30,192.6,196.4,192.0,194.6,5321593,3
2015-03-13 00:00:00+05:30,195.4,196.2,185.0,186.3,6056356,4
2015-03-16 00:00:00+05:30,187.6,192.7,176.2,190.45,9295910,0
2015-03-17 00:00:00+05:30,186.6,187.8,156.6,174.0,31629739,1
2015-03-18 00:00:00+05:30,176.8,183.9,173.1,175.15,13787371,2
2015-03-19 00:00:00+05:30,176.0,177.15,171.55,173.9,7347702,3
2015-03-20 00:00:00+05:30,174.1,175.2,162.15,164.55,8832192,4
2015-03-23 00:00:00+05:30,150.0,156.4,140.0,154.4,28075463,0
2015-03-24 00:00:00+05:30,159.44,160.05,154.1,156.65,9496630,1
2015-03-25 00:00:00+05:30,155.8,156.5,152.25,153.0,5454208,2
2015-03-26 00:00:00+05:30,151.9,153.65,149.8,150.25,13358728,3
2015-03-27 00:00:00+05:30,159.0,159.85,154.35,157.19,8747632,4
2015-03-30 00:00:00+05:30,159.9,160.44,154.0,155.69,5125187,0
2015-03-31 00:00:00+05:30,159.69,161.5,155.19,156.8,6887458,1
2015-04-01 00:00:00+05:30,156.69,157.3,154.5,155.55,2562581,2
2015-04-06 00:00:00+05:30,155.5,156.6,152.65,154.3,3232815,0
2015-04-07 00:00:00+05:30,154.44,169.6,153.44,165.5,11597714,1
2015-04-08 00:00:00+05:30,166.5,168.05,162.6,163.85,4929518,2
2015-04-09 00:00:00+05:30,164.5,164.5,159.05,161.0,4463353,3
2015-04-10 00:00:00+05:30,161.6,162.9,156.19,157.44,6287496,4
2015-04-13 00:00:00+05:30,156.9,164.9,154.69,158.25,7549543,0
2015-04-15 00:00:00+05:30,158.25,161.55,157.3,158.35,2793736,2
2015-04-16 00:00:00+05:30,159.0,163.5,155.85,157.44,4302701,3
2015-04-17 00:00:00+05:30,161.5,161.8,158.4,159.19,3669268,4
2015-04-20 00:00:00+05:30,159.19,161.69,152.69,154.85,4302660,0
2015-04-21 00:00:00+05:30,155.0,157.3,151.35,152.35,3570618,1
2015-04-22 00:00:00+05:30,153.0,155.15,148.5,152.75,4294785,2
2015-04-23 00:00:00+05:30,153.94,156.6,152.55,154.05,3772240,3
2015-04-24 00:00:00+05:30,153.65,154.69,146.75,148.4,3041075,4
2015-04-27 00:00:00+05:30,149.4,150.9,145.0,145.8,4121122,0
2015-04-28 00:00:00+05:30,146.35,147.8,141.9,143.3,5752844,1
2015-04-29 00:00:00+05:30,143.44,147.4,143.44,145.75,3690841,2
