date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,145.0,148.69,144.35,148.25,1166613,3
2015-01-02 00:00:00+05:30,149.0,149.0,146.19,146.94,935693,4
2015-01-05 00:00:00+05:30,147.25,148.69,145.19,146.19,1206770,0
2015-01-06 00:00:00+05:30,145.9,145.9,139.15,139.94,2259239,1
2015-01-07 00:00:00+05:30,140.69,140.9,135.55,135.85,2207310,2
2015-01-08 00:00:00+05:30,137.25,138.0,136.25,137.55,3140407,3
2015-01-09 00:00:00+05:30,138.1,138.94,134.6,135.35,2489838,4
2015-01-12 00:00:00+05:30,136.9,136.94,133.5,133.69,1828268,0
2015-01-13 00:00:00+05:30,134.0,136.69,133.0,135.0,2575797,1
2015-01-14 00:00:00+05:30,135.5,135.9,132.35,132.69,1988596,2
2015-01-15 00:00:00+05:30,133.1,135.0,132.69,133.75,2394021,3
2015-01-16 00:00:00+05:30,133.3,136.19,132.6,135.4,3089810,4
2015-01-19 00:00:00+05:30,136.0,137.6,135.3,137.15,1161310,0
2015-01-20 00:00:00+05:30,137.6,141.0,137.19,140.69,2846872,1
2015-01-21 00:00:00+05:30,141.5,141.69,137.3,138.19,2566465,2
2015-01-22 00:00:00+05:30,137.15,138.5,135.9,137.0,3074873,3
2015-01-23 00:00:00+05:30,138.0,139.94,135.19,139.3,2020486,4
2015-01-27 00:00:00+05:30,139.5,142.5,137.19,141.15,2815820,1
2015-01-28 00:00:00+05:30,141.0,141.5,138.5,140.94,2543401,2
2015-01-29 00:00:00+05:30,140.6,141.94,139.0,140.15,4269017,3
2015-01-30 00:00:00+05:30,140.0,144.44,139.44,141.5,3873570,4
2015-02-02 00:00:00+05:30,140.0,142.94,139.55,141.35,1514039,0
2015-02-03 00:00:00+05:30,142.0,143.15,140.5,141.44,1308712,1
2015-02-04 00:00:00+05:30,141.0,142.94,139.6,140.0,2298421,2
2015-02-05 00:00:00+05:30,140.0,140.6,137.44,138.25,2761364,3
2015-02-06 00:00:00+05:30,138.0,141.6,135.5,141.05,4691143,4
2015-02-09 00:00:00+05:30,141.0,141.0,138.55,140.25,2208957,0
2015-02-10 00:00:00+05:30,139.65,141.25,139.0,139.9,2140020,1
2015-02-11 00:00:00+05:30,140.05,141.0,138.0,139.4,1113781,2
