date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,698.95,717.0,690.0,693.85,13333,3
2015-01-02 00:00:00+05:30,698.95,715.0,688.15,690.9,12157,4
2015-01-05 00:00:00+05:30,695.8,699.95,693.05,695.05,4415,0
2015-01-06 00:00:00+05:30,695.1,700.0,654.0,664.45,18117,1
2015-01-07 00:00:00+05:30,667.0,690.0,657.2,677.95,6137,2
2015-01-08 00:00:00+05:30,678.9,680.9,655.0,663.5,10401,3
2015-01-09 00:00:00+05:30,670.0,675.0,665.05,670.75,3761,4
2015-01-12 00:00:00+05:30,670.0,677.8,660.05,665.4,3335,0
2015-01-13 00:00:00+05:30,662.1,670.0,662.1,666.55,7303,1
2015-01-14 00:00:00+05:30,663.2,667.0,657.05,659.55,5379,2
2015-01-15 00:00:00+05:30,662.05,677.9,660.0,665.1,6449,3
2015-01-16 00:00:00+05:30,661.8,670.0,660.0,662.6,54492,4
2015-01-19 00:00:00+05:30,665.0,695.0,661.0,667.4,14412,0
2015-01-20 00:00:00+05:30,670.0,684.0,661.5,664.45,13700,1
2015-01-21 00:00:00+05:30,667.0,678.95,661.25,664.45,17273,2
2015-01-22 00:00:00+05:30,662.1,728.0,662.1,715.45,131922,3
2015-01-23 00:00:00+05:30,722.9,745.0,695.0,725.7,90522,4
2015-01-27 00:00:00+05:30,723.0,738.0,700.0,706.85,38269,1
2015-01-28 00:00:00+05:30,709.0,723.0,699.0,702.1,18149,2
2015-01-29 00:00:00+05:30,705.0,716.05,689.95,698.3,12971,3
2015-01-30 00:00:00+05:30,730.0,734.0,691.1,700.55,41490,4
2015-02-02 00:00:00+05:30,702.0,754.0,693.0,741.7,96500,0
2015-02-03 00:00:00+05:30,744.0,765.0,737.3,747.2,42937,1
2015-02-04 00:00:00+05:30,746.1,760.0,720.0,754.05,10199,2
2015-02-05 00:00:00+05:30,751.0,760.0,735.05,743.05,11773,3
2015-02-06 00:00:00+05:30,740.0,750.0,725.0,725.7,8345,4
2015-02-09 00:00:00+05:30,725.0,730.0,701.65,714.05,10109,0
2015-02-10 00:00:00+05:30,700.35,725.0,688.0,704.95,9109,1
2015-02-11 00:00:00+05:30,706.05,722.0,706.0,719.05,4128,2
2015-02-12 00:00:00+05:30,716.2,726.2,713.0,725.4,4385,3
2015-02-13 00:00:00+05:30,727.95,732.0,711.0,717.6,2490,4
2015-02-16 00:00:00+05:30,719.9,728.0,696.5,701.35,6836,0
2015-02-18 00:00:00+05:30,702.0,730.0,702.0,724.3,6565,2
2015-02-19 00:00:00+05:30,722.0,805.45,705.5,760.9,62492,3
2015-02-20 00:00:00+05:30,765.0,767.4,747.05,752.95,17391,4
2015-02-23 00:00:00+05:30,754.8,757.65,733.0,743.15,6275,0
2015-02-24 00:00:00+05:30,740.45,742.95,730.0,734.05,6554,1
2015-02-25 00:00:00+05:30,732.5,745.0,725.0,735.2,3906,2
2015-02-26 00:00:00+05:30,733.8,745.0,710.05,733.5,8515,3
2015-02-27 00:00:00+05:30,736.0,759.0,733.1,744.25,6299,4
2015-03-02 00:00:00+05:30,740.0,743.05,725.1,738.55,5381,0
2015-03-03 00:00:00+05:30,741.0,800.0,736.0,789.45,34455,1
2015-03-04 00:00:00+05:30,787.0,805.0,771.0,776.3,20145,2
2015-03-05 00:00:00+05:30,777.05,777.6,759.95,763.95,3980,3
2015-03-09 00:00:00+05:30,763.95,779.7,757.25,766.8,8714,0
2015-03-10 00:00:00+05:30,767.0,792.9,759.0,765.2,38161,1
2015-03-11 00:00:00+05:30,765.0,777.0,762.0,772.55,45682,2
2015-03-12 00:00:00+05:30,775.0,776.05,761.1,762.8,133243,3
2015-03-13 00:00:00+05:30,766.0,776.0,745.0,746.6,14488,4
2015-03-16 00:00:00+05:30,747.45,757.95,740.05,741.85,38116,0
2015-03-17 00:00:00+05:30,745.0,773.0,742.05,745.65,19312,1
2015-03-18 00:00:00+05:30,750.85,755.05,735.0,738.05,122536,2
2015-03-19 00:00:00+05:30,750.8,754.0,722.55,735.85,8325,3
2015-03-20 00:00:00+05:30,732.7,736.0,720.1,725.8,5232,4
2015-03-23 00:00:00+05:30,718.65,725.75,690.0,693.65,94734,0
2015-03-24 00:00:00+05:30,697.85,706.5,685.1,697.35,20996,1
2015-03-25 00:00:00+05:30,704.95,712.65,691.1,700.65,111501,2
2015-03-26 00:00:00+05:30,697.05,699.0,669.0,675.7,13064,3
2015-03-27 00:00:00+05:30,675.2,684.3,655.0,661.9,10970,4
2015-03-30 00:00:00+05:30,670.0,696.0,668.15,690.3,7714,0
2015-03-31 00:00:00+05:30,690.25,708.0,684.0,687.2,3476,1
2015-04-01 00:00:00+05:30,698.95,703.0,687.0,693.4,8501,2
2015-04-06 00:00:00+05:30,695.0,734.8,690.0,723.65,35471,0
2015-04-07 00:00:00+05:30,733.6,742.0,711.5,724.0,20754,1
2015-04-08 00:00:00+05:30,724.05,739.85,723.05,725.3,3834,2
2015-04-09 00:00:00+05:30,734.25,745.0,717.05,721.9,28702,3
2015-04-10 00:00:00+05:30,728.0,732.0,713.2,717.65,14667,4
2015-04-13 00:00:00+05:30,724.4,728.05,714.0,717.25,15141,0
2015-04-15 00:00:00+05:30,717.25,723.2,706.5,715.1,8959,2
2015-04-16 00:00:00+05:30,713.25,728.9,707.1,708.45,13464,3
2015-04-17 00:00:00+05:30,714.15,722.9,703.1,717.1,7069,4
2015-04-20 00:00:00+05:30,734.0,734.0,695.15,700.3,5906,0
2015-04-21 00:00:00+05:30,706.6,712.75,697.0,698.95,6135,1
