date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,82.55,83.3,82.1,82.75,1717602,3
2015-01-02 00:00:00+05:30,82.7,83.8,82.6,82.85,2029658,4
2015-01-05 00:00:00+05:30,82.75,84.25,82.3,82.7,2549631,0
2015-01-06 00:00:00+05:30,82.4,82.55,78.0,78.65,4904155,1
2015-01-07 00:00:00+05:30,78.59,79.3,76.55,77.8,3051686,2
2015-01-08 00:00:00+05:30,78.3,79.65,78.2,79.15,2363987,3
2015-01-09 00:00:00+05:30,79.7,80.65,78.0,78.55,2990177,4
2015-01-12 00:00:00+05:30,78.45,80.7,77.09,80.0,3473942,0
2015-01-13 00:00:00+05:30,79.7,80.0,77.7,78.25,3817822,1
2015-01-14 00:00:00+05:30,78.0,78.45,75.8,77.05,4015645,2
2015-01-15 00:00:00+05:30,77.2,79.0,77.0,77.55,3802990,3
2015-01-16 00:00:00+05:30,77.5,77.8,76.2,76.95,2990958,4
2015-01-19 00:00:00+05:30,77.3,78.09,76.05,76.8,2473707,0
2015-01-20 00:00:00+05:30,76.8,78.55,76.8,77.95,2989197,1
2015-01-21 00:00:00+05:30,78.2,78.4,76.4,76.9,3315305,2
2015-01-22 00:00:00+05:30,77.0,78.09,76.95,77.9,3682512,3
2015-01-23 00:00:00+05:30,78.7,78.75,77.0,78.15,2442104,4
2015-01-27 00:00:00+05:30,78.0,79.2,77.4,78.75,4445066,1
2015-01-28 00:00:00+05:30,78.75,79.55,77.7,78.25,3216624,2
2015-01-29 00:00:00+05:30,78.0,79.5,77.34,78.7,4180781,3
2015-01-30 00:00:00+05:30,78.7,79.2,76.55,77.15,1939925,4
2015-02-02 00:00:00+05:30,77.0,77.0,75.2,75.55,2675255,0
2015-02-03 00:00:00+05:30,75.55,75.95,73.5,73.65,3452998,1
2015-02-04 00:00:00+05:30,74.45,74.75,73.65,74.09,3349034,2
2015-02-05 00:00:00+05:30,74.2,75.5,73.25,74.0,2229197,3
2015-02-06 00:00:00+05:30,73.84,74.25,71.2,73.65,1621151,4
2015-02-09 00:00:00+05:30,73.09,73.09,70.84,71.15,2044885,0
2015-02-10 00:00:00+05:30,70.5,71.7,69.05,69.7,2631791,1
2015-02-11 00:00:00+05:30,69.9,73.84,69.9,73.2,2772570,2
2015-02-12 00:00:00+05:30,73.45,74.09,72.4,73.3,1806045,3
2015-02-13 00:00:00+05:30,73.34,77.15,73.2,75.15,6628787,4
2015-02-16 00:00:00+05:30,75.15,76.2,74.25,74.95,3452147,0
2015-02-18 00:00:00+05:30,74.0,74.59,72.5,72.75,2134881,2
2015-02-19 00:00:00+05:30,73.09,75.34,72.8,74.8,3410051,3
2015-02-20 00:00:00+05:30,75.0,75.59,74.0,74.34,2276260,4
2015-02-23 00:00:00+05:30,75.0,75.0,73.09,73.5,1433762,0
2015-02-24 00:00:00+05:30,73.7,73.75,70.34,70.65,2701791,1
2015-02-25 00:00:00+05:30,71.0,71.59,69.84,70.05,2089984,2
2015-02-26 00:00:00+05:30,70.25,70.45,67.45,67.65,4088967,3
2015-02-27 00:00:00+05:30,68.15,70.5,68.09,70.3,2483808,4
2015-03-02 00:00:00+05:30,71.0,71.8,69.3,69.8,1881433,0
2015-03-03 00:00:00+05:30,70.25,70.7,69.09,69.34,2326288,1
2015-03-04 00:00:00+05:30,70.15,70.15,67.5,67.8,2451673,2
2015-03-05 00:00:00+05:30,68.0,68.2,66.5,66.84,2012491,3
2015-03-09 00:00:00+05:30,66.75,67.2,65.55,65.75,2195703,0
2015-03-10 00:00:00+05:30,66.09,67.59,65.45,67.0,2873085,1
2015-03-11 00:00:00+05:30,67.05,67.25,65.4,66.05,1982951,2
2015-03-12 00:00:00+05:30,67.25,69.25,66.9,68.65,4442499,3
2015-03-13 00:00:00+05:30,69.09,69.2,67.25,67.75,2828388,4
2015-03-16 00:00:00+05:30,68.0,68.09,66.45,67.5,1667766,0
2015-03-17 00:00:00+05:30,67.59,68.95,67.2,68.8,2975158,1
2015-03-18 00:00:00+05:30,68.8,68.8,67.5,68.05,2103693,2
2015-03-19 00:00:00+05:30,68.5,68.65,67.65,68.05,2511605,3
2015-03-20 00:00:00+05:30,68.0,69.34,67.8,68.84,3385387,4
2015-03-23 00:00:00+05:30,68.9,70.2,67.8,69.75,2038903,0
2015-03-24 00:00:00+05:30,69.4,70.15,68.5,69.65,2723027,1
2015-03-25 00:00:00+05:30,70.15,70.34,68.9,70.05,3014618,2
2015-03-26 00:00:00+05:30,69.7,71.4,69.3,70.8,4541447,3
2015-03-27 00:00:00+05:30,70.7,70.7,67.34,68.9,3490159,4
2015-03-30 00:00:00+05:30,69.05,69.15,68.0,69.0,2570868,0
2015-03-31 00:00:00+05:30,68.95,69.0,66.59,67.4,3636076,1
2015-04-01 00:00:00+05:30,66.65,71.0,66.55,70.2,2964943,2
2015-04-06 00:00:00+05:30,70.59,71.0,69.05,69.3,3279448,0
2015-04-07 00:00:00+05:30,69.34,73.4,68.9,72.8,4303142,1
2015-04-08 00:00:00+05:30,72.3,73.15,71.5,72.3,2445069,2
2015-04-09 00:00:00+05:30,72.0,74.3,71.0,73.45,4339021,3
2015-04-10 00:00:00+05:30,72.59,75.75,72.59,75.09,3285189,4
2015-04-13 00:00:00+05:30,75.0,76.45,74.59,75.9,2005824,0
2015-04-15 00:00:00+05:30,75.3,76.8,74.2,75.0,1713393,2
2015-04-16 00:00:00+05:30,74.7,76.4,73.8,75.75,2037346,3
2015-04-17 00:00:00+05:30,75.9,79.0,74.75,77.15,3787853,4
2015-04-20 00:00:00+05:30,77.2,77.84,72.65,73.45,2418851,0
2015-04-21 00:00:00+05:30,73.5,75.15,73.34,73.95,1943076,1
2015-04-22 00:00:00+05:30,73.59,74.95,71.75,72.65,2618199,2
2015-04-23 00:00:00+05:30,72.5,75.65,72.3,74.0,4546418,3
2015-04-24 00:00:00+05:30,74.45,74.75,72.95,74.0,1924756,4
2015-04-27 00:00:00+05:30,74.05,76.2,73.05,74.0,4729029,0
2015-04-28 00:00:00+05:30,74.0,74.9,73.2,73.9,2880016,1
