date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,70.7,71.15,70.1,70.85,748071,3
2015-01-02 00:00:00+05:30,70.8,72.15,70.8,71.45,1980981,4
2015-01-05 00:00:00+05:30,71.35,72.15,71.35,71.55,864993,0
2015-01-06 00:00:00+05:30,70.85,71.15,68.8,69.15,1293987,1
2015-01-07 00:00:00+05:30,69.05,69.6,67.05,67.4,2114343,2
2015-01-08 00:00:00+05:30,67.9,68.85,67.7,68.45,1572807,3
2015-01-09 00:00:00+05:30,68.8,70.05,68.5,69.3,1905000,4
2015-01-12 00:00:00+05:30,69.5,70.4,68.65,70.05,1364655,0
2015-01-13 00:00:00+05:30,71.35,71.8,70.65,71.15,2594466,1
2015-01-14 00:00:00+05:30,71.05,71.65,70.35,70.6,1651779,2
2015-01-15 00:00:00+05:30,71.0,72.35,70.15,71.7,1393212,3
2015-01-16 00:00:00+05:30,71.5,72.1,70.85,71.65,1465632,4
2015-01-19 00:00:00+05:30,71.85,72.75,71.5,71.95,1737402,0
2015-01-20 00:00:00+05:30,72.05,72.5,70.9,71.5,1292658,1
2015-01-21 00:00:00+05:30,71.65,72.2,70.25,71.05,1145754,2
2015-01-22 00:00:00+05:30,71.4,72.35,69.95,70.9,3384618,3
2015-01-23 00:00:00+05:30,70.4,70.5,68.45,68.85,4771479,4
2015-01-27 00:00:00+05:30,68.15,68.65,67.45,68.25,3694737,1
2015-01-28 00:00:00+05:30,68.0,68.65,67.95,68.35,2087592,2
2015-01-29 00:00:00+05:30,68.15,69.15,68.05,68.3,1796904,3
2015-01-30 00:00:00+05:30,68.65,69.8,68.35,69.1,1565094,4
2015-02-02 00:00:00+05:30,69.0,71.35,69.0,70.35,2185863,0
2015-02-03 00:00:00+05:30,70.8,71.65,70.0,70.95,2109834,1
2015-02-04 00:00:00+05:30,71.15,72.0,70.85,71.2,2099634,2
2015-02-05 00:00:00+05:30,71.65,71.85,69.2,70.05,2197209,3
2015-02-06 00:00:00+05:30,69.85,70.1,68.35,68.65,1535532,4
2015-02-09 00:00:00+05:30,68.45,69.2,67.75,68.65,1003614,0
2015-02-10 00:00:00+05:30,68.65,69.85,68.35,68.7,1001028,1
2015-02-11 00:00:00+05:30,68.85,71.15,68.85,70.75,1233291,2
2015-02-12 00:00:00+05:30,71.05,71.25,69.65,70.1,1171257,3
2015-02-13 00:00:00+05:30,70.5,75.4,70.05,75.05,5222109,4
2015-02-16 00:00:00+05:30,75.1,75.35,72.85,73.15,1842255,0
2015-02-18 00:00:00+05:30,73.3,75.3,73.2,74.3,1754349,2
