date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,323.05,323.2,319.99,322.4,519665,3
2015-01-02 00:00:00+05:30,323.18,327.98,323.18,325.53,508415,4
2015-01-05 00:00:00+05:30,329.59,342.0,329.39,339.88,1169030,0
2015-01-06 00:00:00+05:30,339.0,339.0,329.6,332.04,514970,1
2015-01-07 00:00:00+05:30,332.2,334.03,325.25,329.78,174425,2
2015-01-08 00:00:00+05:30,331.8,334.18,328.0,329.43,224345,3
2015-01-09 00:00:00+05:30,334.0,343.98,334.0,337.34,723970,4
2015-01-12 00:00:00+05:30,337.34,339.3,329.22,330.49,344195,0
2015-01-13 00:00:00+05:30,329.4,332.0,327.24,329.35,2159875,1
2015-01-14 00:00:00+05:30,330.4,331.8,319.18,322.31,711705,2
2015-01-15 00:00:00+05:30,324.16,330.21,320.2,323.54,2210195,3
2015-01-16 00:00:00+05:30,323.82,330.8,323.8,327.04,429435,4
2015-01-19 00:00:00+05:30,327.2,331.0,320.2,327.0,3749970,0
2015-01-20 00:00:00+05:30,327.45,334.0,327.45,331.71,734825,1
2015-01-21 00:00:00+05:30,330.2,335.05,328.2,329.93,286885,2
2015-01-22 00:00:00+05:30,328.8,333.0,327.25,328.67,820330,3
2015-01-23 00:00:00+05:30,333.0,338.67,329.0,329.48,537005,4
2015-01-27 00:00:00+05:30,330.6,334.96,329.65,330.28,359615,1
2015-01-28 00:00:00+05:30,331.39,335.3,331.03,331.99,789820,2
2015-01-29 00:00:00+05:30,336.65,337.0,328.2,332.07,1500575,3
2015-01-30 00:00:00+05:30,334.0,336.0,326.22,327.67,298470,4
2015-02-02 00:00:00+05:30,328.0,331.0,320.97,322.16,1409375,0
2015-02-03 00:00:00+05:30,323.2,325.19,305.62,308.35,1970190,1
2015-02-04 00:00:00+05:30,309.0,312.0,304.0,304.73,1104500,2
2015-02-05 00:00:00+05:30,304.0,305.66,285.0,292.09,2145965,3
2015-02-06 00:00:00+05:30,293.0,297.0,291.0,293.37,963785,4
2015-02-09 00:00:00+05:30,294.38,297.6,285.22,295.08,445350,0
2015-02-10 00:00:00+05:30,295.6,307.78,295.6,302.71,955380,1
2015-02-11 00:00:00+05:30,305.17,308.0,299.07,300.81,376100,2
2015-02-12 00:00:00+05:30,304.6,311.6,302.0,309.04,934675,3
2015-02-13 00:00:00+05:30,313.4,321.59,310.63,319.13,605600,4
2015-02-16 00:00:00+05:30,323.89,327.8,321.17,322.67,442830,0
2015-02-18 00:00:00+05:30,325.8,328.61,322.22,324.47,450165,2
2015-02-19 00:00:00+05:30,325.6,327.27,323.26,326.24,374530,3
