date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,626.5,634.79,626.5,628.4,596787,3
2015-01-02 00:00:00+05:30,633.0,637.54,629.35,630.15,688999,4
2015-01-05 00:00:00+05:30,626.0,638.0,626.0,633.0,1282895,0
2015-01-06 00:00:00+05:30,631.0,632.0,610.5,614.35,1615490,1
2015-01-07 00:00:00+05:30,614.35,617.79,604.5,611.95,813936,2
2015-01-08 00:00:00+05:30,615.0,621.5,612.0,618.2,1273014,3
2015-01-09 00:00:00+05:30,624.0,641.5,621.0,632.35,2151608,4
2015-01-12 00:00:00+05:30,630.9,637.0,625.95,630.75,1094136,0
2015-01-13 00:00:00+05:30,631.0,645.29,628.2,636.4,1261489,1
2015-01-14 00:00:00+05:30,638.79,641.85,629.04,631.4,1033679,2
2015-01-15 00:00:00+05:30,638.9,640.0,632.6,638.04,1229115,3
2015-01-16 00:00:00+05:30,641.7,650.0,639.0,647.35,1245788,4
2015-01-19 00:00:00+05:30,652.0,661.55,649.0,657.8,1536486,0
2015-01-20 00:00:00+05:30,661.95,666.45,657.35,661.8,1537603,1
2015-01-21 00:00:00+05:30,663.0,663.85,641.0,643.45,1541897,2
2015-01-22 00:00:00+05:30,643.5,657.2,641.35,654.79,1642285,3
2015-01-23 00:00:00+05:30,659.9,686.5,654.6,677.65,2255956,4
2015-01-27 00:00:00+05:30,687.0,710.0,683.0,707.05,2067849,1
2015-01-28 00:00:00+05:30,706.9,707.0,692.55,703.55,1379608,2
2015-01-29 00:00:00+05:30,699.95,711.9,686.5,697.45,2245977,3
2015-01-30 00:00:00+05:30,699.0,702.8,691.2,695.75,1061983,4
2015-02-02 00:00:00+05:30,698.0,706.5,691.25,695.5,878717,0
2015-02-03 00:00:00+05:30,695.15,699.75,672.05,677.4,772717,1
2015-02-04 00:00:00+05:30,680.4,688.0,666.6,678.0,1326140,2
2015-02-05 00:00:00+05:30,676.55,676.55,657.25,662.4,913021,3
2015-02-06 00:00:00+05:30,672.0,682.7,645.65,655.04,1572398,4
2015-02-09 00:00:00+05:30,650.0,656.0,626.25,629.65,1213162,0
2015-02-10 00:00:00+05:30,630.0,642.79,623.45,640.15,1834808,1
2015-02-11 00:00:00+05:30,640.15,640.79,631.04,636.45,1671824,2
2015-02-12 00:00:00+05:30,641.0,665.55,633.04,660.65,4022095,3
2015-02-13 00:00:00+05:30,661.0,701.85,659.0,667.25,6373168,4
2015-02-16 00:00:00+05:30,670.3,678.9,668.0,671.55,1056625,0
2015-02-18 00:00:00+05:30,672.7,684.0,667.55,677.65,975390,2
2015-02-19 00:00:00+05:30,683.0,692.0,672.1,682.45,1803177,3
2015-02-20 00:00:00+05:30,686.2,690.0,673.55,675.95,1323954,4
2015-02-23 00:00:00+05:30,678.0,684.35,666.0,669.15,1030305,0
2015-02-24 00:00:00+05:30,673.0,679.6,670.0,677.3,745543,1
2015-02-25 00:00:00+05:30,679.55,685.2,671.45,676.35,865007,2
2015-02-26 00:00:00+05:30,680.5,682.45,656.15,659.45,1754632,3
2015-02-27 00:00:00+05:30,662.4,677.0,655.4,669.85,1632882,4
2015-03-02 00:00:00+05:30,683.55,725.0,681.35,716.95,2226858,0
2015-03-03 00:00:00+05:30,720.0,738.7,715.1,731.9,2346080,1
2015-03-04 00:00:00+05:30,736.0,747.5,722.0,727.05,1975785,2
2015-03-05 00:00:00+05:30,730.0,746.4,725.0,739.5,1863532,3
2015-03-09 00:00:00+05:30,739.5,742.5,730.05,734.2,886869,0
2015-03-10 00:00:00+05:30,740.0,752.85,725.0,729.45,2224099,1
2015-03-11 00:00:00+05:30,734.0,737.45,712.4,717.7,1656569,2
2015-03-12 00:00:00+05:30,719.15,728.0,711.0,720.2,1970544,3
2015-03-13 00:00:00+05:30,725.0,727.65,701.1,703.85,1031988,4
2015-03-16 00:00:00+05:30,706.15,707.8,683.6,693.65,2758251,0
2015-03-17 00:00:00+05:30,698.4,716.0,696.65,710.55,1832519,1
2015-03-18 00:00:00+05:30,714.0,720.8,708.05,711.95,1470026,2
2015-03-19 00:00:00+05:30,716.0,726.8,705.6,710.35,1697308,3
