date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,832.6,839.8,825.5,832.8,12832,3
2015-01-02 00:00:00+05:30,831.95,847.25,831.95,839.5,25538,4
2015-01-05 00:00:00+05:30,839.6,844.5,830.0,838.1,20273,0
2015-01-06 00:00:00+05:30,834.8,836.0,814.85,827.2,32528,1
2015-01-07 00:00:00+05:30,819.6,838.85,819.6,835.25,19922,2
2015-01-08 00:00:00+05:30,840.6,844.5,826.0,840.4,22297,3
2015-01-09 00:00:00+05:30,844.5,844.5,834.75,842.05,12514,4
2015-01-12 00:00:00+05:30,840.55,840.55,829.5,831.75,10811,0
2015-01-13 00:00:00+05:30,844.5,845.0,828.0,840.35,39681,1
2015-01-14 00:00:00+05:30,842.0,875.0,831.0,836.9,70590,2
2015-01-15 00:00:00+05:30,854.95,854.95,822.35,831.65,34267,3
2015-01-16 00:00:00+05:30,854.85,864.9,842.65,848.7,119997,4
2015-01-19 00:00:00+05:30,857.0,862.65,841.3,845.35,29025,0
2015-01-20 00:00:00+05:30,848.0,854.45,831.7,834.4,44577,1
2015-01-21 00:00:00+05:30,837.0,847.7,831.0,833.25,28284,2
2015-01-22 00:00:00+05:30,834.0,851.0,826.6,829.65,43382,3
2015-01-23 00:00:00+05:30,832.95,849.95,829.2,834.95,61040,4
2015-01-27 00:00:00+05:30,835.4,850.0,832.0,835.35,248162,1
2015-01-28 00:00:00+05:30,841.35,854.0,841.35,846.6,115215,2
2015-01-29 00:00:00+05:30,844.75,849.95,835.0,836.55,246575,3
2015-01-30 00:00:00+05:30,836.55,840.0,828.95,833.85,73962,4
2015-02-02 00:00:00+05:30,833.25,854.0,833.25,836.85,54365,0
2015-02-03 00:00:00+05:30,836.0,843.9,823.7,829.15,226306,1
2015-02-04 00:00:00+05:30,827.05,835.4,827.05,829.05,18602,2
2015-02-05 00:00:00+05:30,831.85,850.7,830.75,837.85,246579,3
2015-02-06 00:00:00+05:30,837.55,854.0,830.1,833.85,45731,4
2015-02-09 00:00:00+05:30,837.0,862.0,820.95,849.65,112781,0
2015-02-10 00:00:00+05:30,856.0,857.0,825.0,828.25,37202,1
2015-02-11 00:00:00+05:30,830.0,849.4,827.0,840.45,28424,2
2015-02-12 00:00:00+05:30,843.0,843.0,829.0,833.1,23647,3
2015-02-13 00:00:00+05:30,833.25,865.45,833.0,857.3,44344,4
2015-02-16 00:00:00+05:30,860.0,870.0,841.0,849.05,36066,0
2015-02-18 00:00:00+05:30,852.0,865.0,849.6,862.4,27290,2
2015-02-19 00:00:00+05:30,865.0,875.0,859.0,863.15,18786,3
2015-02-20 00:00:00+05:30,866.0,868.0,855.0,866.4,15041,4
2015-02-23 00:00:00+05:30,869.0,948.0,863.0,906.0,381104,0
2015-02-24 00:00:00+05:30,912.85,918.95,871.6,880.85,246606,1
2015-02-25 00:00:00+05:30,884.0,911.95,877.5,884.8,561274,2
2015-02-26 00:00:00+05:30,885.5,921.0,867.95,910.6,62060,3
2015-02-27 00:00:00+05:30,913.0,915.0,885.75,906.35,114216,4
2015-03-02 00:00:00+05:30,890.5,901.75,880.15,889.9,75374,0
2015-03-03 00:00:00+05:30,882.0,909.5,882.0,898.8,58025,1
2015-03-04 00:00:00+05:30,900.15,910.4,882.5,891.55,29137,2
2015-03-05 00:00:00+05:30,894.95,917.35,884.05,910.95,39660,3
2015-03-09 00:00:00+05:30,908.0,908.0,876.05,881.75,49173,0
2015-03-10 00:00:00+05:30,884.0,889.9,852.4,857.25,52709,1
2015-03-11 00:00:00+05:30,857.25,864.4,835.0,838.7,56988,2
2015-03-12 00:00:00+05:30,842.0,860.0,840.35,851.2,45646,3
2015-03-13 00:00:00+05:30,854.0,856.05,833.0,851.25,179568,4
2015-03-16 00:00:00+05:30,854.0,855.0,831.0,834.25,284957,0
2015-03-17 00:00:00+05:30,840.0,899.0,838.8,884.05,223839,1
2015-03-18 00:00:00+05:30,898.95,918.0,866.0,877.65,101184,2
2015-03-19 00:00:00+05:30,888.0,890.0,876.05,879.45,60660,3
2015-03-20 00:00:00+05:30,875.85,899.0,858.55,888.95,104305,4
2015-03-23 00:00:00+05:30,890.0,890.0,860.0,862.6,37464,0
2015-03-24 00:00:00+05:30,877.0,877.0,852.25,854.3,86514,1
2015-03-25 00:00:00+05:30,862.7,877.0,854.0,861.0,300241,2
2015-03-26 00:00:00+05:30,855.0,870.0,846.4,858.05,59579,3
2015-03-27 00:00:00+05:30,860.0,864.5,840.5,858.95,86742,4
2015-03-30 00:00:00+05:30,860.0,872.9,854.5,866.25,42308,0
2015-03-31 00:00:00+05:30,857.05,880.0,857.05,870.95,184164,1
2015-04-01 00:00:00+05:30,876.0,885.8,869.0,878.55,259503,2
2015-04-06 00:00:00+05:30,880.0,904.0,875.0,884.75,53829,0
2015-04-07 00:00:00+05:30,886.05,904.0,875.0,900.6,54625,1
2015-04-08 00:00:00+05:30,900.0,911.5,891.0,901.0,74477,2
2015-04-09 00:00:00+05:30,909.85,918.0,883.1,913.65,72302,3
2015-04-10 00:00:00+05:30,919.0,941.5,904.55,921.35,124414,4
2015-04-13 00:00:00+05:30,922.0,994.0,916.25,980.75,152715,0
2015-04-15 00:00:00+05:30,987.0,1013.85,960.0,967.25,149105,2
2015-04-16 00:00:00+05:30,967.25,983.0,954.1,971.05,73485,3
2015-04-17 00:00:00+05:30,976.25,979.0,925.0,943.45,48116,4
2015-04-20 00:00:00+05:30,940.0,964.0,933.85,945.25,47161,0
2015-04-21 00:00:00+05:30,958.0,958.0,932.05,940.4,101684,1
2015-04-22 00:00:00+05:30,940.4,950.0,936.5,945.0,53681,2
2015-04-23 00:00:00+05:30,958.0,967.8,930.3,955.15,34660,3
2015-04-24 00:00:00+05:30,945.0,962.75,940.0,949.95,29096,4
2015-04-27 00:00:00+05:30,959.0,959.0,925.65,935.35,50730,0
2015-04-28 00:00:00+05:30,949.9,990.0,921.8,980.6,57196,1
2015-04-29 00:00:00+05:30,967.05,987.95,945.05,952.9,69424,2
2015-04-30 00:00:00+05:30,970.0,970.0,928.5,938.1,104450,3
2015-05-04 00:00:00+05:30,937.8,951.7,927.2,944.0,40463,0
2015-05-05 00:00:00+05:30,938.0,990.0,931.6,982.2,65783,1
2015-05-06 00:00:00+05:30,967.0,991.95,941.0,956.55,55990,2
2015-05-07 00:00:00+05:30,961.65,963.75,941.0,953.4,67985,3
2015-05-08 00:00:00+05:30,985.0,999.95,957.0,978.7,159084,4
2015-05-11 00:00:00+05:30,978.7,1019.95,953.7,1013.2,140557,0
2015-05-12 00:00:00+05:30,1019.0,1019.0,975.0,984.75,70995,1
2015-05-13 00:00:00+05:30,996.0,996.0,957.2,962.25,71777,2
2015-05-14 00:00:00+05:30,969.9,994.0,964.2,987.4,27657,3
2015-05-15 00:00:00+05:30,988.1,1008.15,980.0,1002.9,57110,4
2015-05-18 00:00:00+05:30,1009.0,1019.9,990.0,1014.75,39534,0
2015-05-19 00:00:00+05:30,1005.0,1039.95,1005.0,1035.09,63830,1
2015-05-20 00:00:00+05:30,1040.0,1044.5,1010.0,1023.95,81991,2
2015-05-21 00:00:00+05:30,1015.0,1019.85,992.05,1001.7,36246,3
2015-05-22 00:00:00+05:30,1017.8,1017.95,981.0,988.3,61163,4
2015-05-25 00:00:00+05:30,983.6,1005.0,983.6,991.5,30571,0
2015-05-26 00:00:00+05:30,998.0,998.3,975.1,994.3,63441,1
2015-05-27 00:00:00+05:30,999.9,999.9,977.0,992.05,91914,2
2015-05-28 00:00:00+05:30,1017.95,1017.95,975.05,994.9,93075,3
2015-05-29 00:00:00+05:30,1006.9,1006.9,915.0,934.45,371148,4
2015-06-01 00:00:00+05:30,928.0,959.7,911.6,953.8,87740,0
2015-06-02 00:00:00+05:30,947.0,965.0,943.0,953.4,78575,1
2015-06-03 00:00:00+05:30,964.95,967.0,945.0,962.25,40365,2
2015-06-04 00:00:00+05:30,952.5,979.7,952.5,976.15,52631,3
2015-06-05 00:00:00+05:30,980.1,988.0,971.55,985.35,54602,4
2015-06-08 00:00:00+05:30,966.05,984.65,955.0,960.0,37073,0
2015-06-09 00:00:00+05:30,958.0,966.0,955.1,961.2,22287,1
2015-06-10 00:00:00+05:30,965.0,969.95,958.0,962.95,58496,2
2015-06-11 00:00:00+05:30,982.95,982.95,935.6,944.7,61650,3
2015-06-12 00:00:00+05:30,949.95,962.9,932.0,937.95,45079,4
2015-06-15 00:00:00+05:30,932.0,947.0,928.0,933.05,51549,0
2015-06-16 00:00:00+05:30,945.4,945.4,922.2,927.2,38051,1
2015-06-17 00:00:00+05:30,923.0,944.95,923.0,940.0,85353,2
2015-06-18 00:00:00+05:30,945.95,964.0,935.55,955.35,107373,3
2015-06-19 00:00:00+05:30,962.0,979.0,919.5,927.55,146214,4
2015-06-22 00:00:00+05:30,932.0,939.5,925.05,929.75,41343,0
2015-06-23 00:00:00+05:30,931.0,939.35,920.5,926.7,28788,1
2015-06-24 00:00:00+05:30,938.5,938.5,920.0,921.6,28674,2
2015-06-25 00:00:00+05:30,934.8,949.0,922.45,937.7,74850,3
2015-06-26 00:00:00+05:30,922.15,944.35,922.15,930.8,32218,4
2015-06-29 00:00:00+05:30,939.8,939.8,921.05,931.55,32916,0
2015-06-30 00:00:00+05:30,939.7,939.7,922.8,928.05,68170,1
2015-07-01 00:00:00+05:30,932.9,943.95,929.0,932.1,54452,2
2015-07-02 00:00:00+05:30,938.95,970.0,937.1,955.55,111642,3
2015-07-03 00:00:00+05:30,954.4,969.9,954.4,966.05,42518,4
2015-07-06 00:00:00+05:30,951.0,970.0,951.0,963.55,23674,0
2015-07-07 00:00:00+05:30,978.0,983.9,960.25,971.55,29388,1
2015-07-08 00:00:00+05:30,987.0,987.0,970.1,975.05,141404,2
2015-07-09 00:00:00+05:30,983.0,985.05,940.0,951.1,40041,3
2015-07-10 00:00:00+05:30,965.0,970.9,923.0,940.55,110389,4
2015-07-13 00:00:00+05:30,953.25,964.1,940.05,953.8,38999,0
2015-07-14 00:00:00+05:30,964.0,975.0,953.1,971.8,41801,1
2015-07-15 00:00:00+05:30,963.5,993.9,963.5,975.25,93804,2
2015-07-16 00:00:00+05:30,977.3,994.0,971.0,972.95,55855,3
2015-07-17 00:00:00+05:30,970.05,994.9,970.05,975.65,72425,4
2015-07-20 00:00:00+05:30,984.95,989.45,967.65,973.95,31197,0
2015-07-21 00:00:00+05:30,987.0,987.0,956.6,959.85,37658,1
2015-07-22 00:00:00+05:30,963.0,968.95,936.6,939.4,76503,2
2015-07-23 00:00:00+05:30,946.4,946.4,930.0,933.75,52829,3
2015-07-24 00:00:00+05:30,940.0,963.0,924.05,927.45,98674,4
2015-07-27 00:00:00+05:30,943.35,943.35,920.0,923.4,49954,0
2015-07-28 00:00:00+05:30,918.0,923.8,880.1,888.9,100144,1
2015-07-29 00:00:00+05:30,901.2,936.0,900.45,928.65,175253,2
2015-07-30 00:00:00+05:30,934.95,938.5,891.0,901.65,99422,3
2015-07-31 00:00:00+05:30,911.65,923.5,905.0,920.2,97729,4
2015-08-03 00:00:00+05:30,925.0,925.0,895.1,901.05,76138,0
2015-08-04 00:00:00+05:30,919.0,919.95,890.0,905.15,102766,1
2015-08-05 00:00:00+05:30,915.0,951.2,910.0,944.05,182546,2
2015-08-06 00:00:00+05:30,940.0,960.0,925.1,934.15,175867,3
2015-08-07 00:00:00+05:30,940.0,948.9,927.0,936.4,151215,4
2015-08-10 00:00:00+05:30,949.0,955.9,930.0,936.75,44800,0
2015-08-11 00:00:00+05:30,936.0,939.8,907.0,914.4,811084,1
2015-08-12 00:00:00+05:30,913.85,922.95,901.0,903.1,53101,2
2015-08-13 00:00:00+05:30,912.25,937.45,905.0,925.4,82590,3
2015-08-14 00:00:00+05:30,948.0,948.0,916.0,921.35,41519,4
2015-08-17 00:00:00+05:30,922.0,935.0,907.65,930.25,31103,0
2015-08-18 00:00:00+05:30,939.9,943.9,929.1,932.7,40560,1
2015-08-19 00:00:00+05:30,939.9,947.5,918.95,924.2,85350,2
2015-08-20 00:00:00+05:30,928.0,930.15,900.0,901.75,66106,3
2015-08-21 00:00:00+05:30,902.0,930.0,897.55,924.15,79956,4
2015-08-24 00:00:00+05:30,917.1,917.1,865.0,870.35,76440,0
2015-08-25 00:00:00+05:30,886.0,910.05,862.05,874.6,132528,1
2015-08-26 00:00:00+05:30,892.0,899.95,866.8,874.9,87591,2
2015-08-27 00:00:00+05:30,896.0,905.0,882.9,893.25,141740,3
2015-08-28 00:00:00+05:30,902.8,939.0,902.8,932.25,148802,4
2015-08-31 00:00:00+05:30,929.9,990.7,929.8,973.85,251651,0
2015-09-01 00:00:00+05:30,968.0,977.0,935.05,936.65,96112,1
2015-09-02 00:00:00+05:30,937.4,946.95,885.05,893.8,150837,2
2015-09-03 00:00:00+05:30,894.95,908.0,881.5,885.8,136157,3
2015-09-04 00:00:00+05:30,884.9,903.5,870.0,877.35,93497,4
2015-09-07 00:00:00+05:30,888.0,896.95,852.65,858.4,48545,0
2015-09-08 00:00:00+05:30,858.0,863.9,826.0,848.8,48401,1
2015-09-09 00:00:00+05:30,854.0,869.35,845.1,852.75,72864,2
2015-09-10 00:00:00+05:30,860.0,878.0,857.0,866.6,117972,3
